MeanIWNorm,MaxIW,OptimizationReturnMax,InitialBound,MeanIW,Bound,MeanEntropy,InitialReturnStd,StdIWNorm,MinIWNorm,OptimizationReturnMean,InitialReturnMin,EpRewMean,OptimizationReturnMin,StdIW,VarianceInit,EpLenMean,J_sample_variance,TimeElapsed,EpThisIter,ESSClassic,LearnableVariance,EmpiricalD2,MinIW,InitialReturnMax,Weights,InitialReturnMean,ReturnStepMax,ReturnStepMaxmin,Iteration,ESSRenyi,ReturnMeanIW,EpisodesSoFar,MaxIWNorm,TimestepsSoFar
0.010237511,1.2025658,370.9127,9.200226,1.0237513,10.9913025,1.4029506,57.77818,0.0010034646,0.0076926127,70.077614,71.994865,142.0724826707984,,0.10034646,-1,15.53,8880.391,7.330796480178833,100,99.04838,True,1.010783,0.7692613,442.90756,[ 0.  0. -0. -0.  0.  0. -0.  0. -0.  0. -0.  0.],142.07248,9.359886,9.359886,1,98.933205,144.57802,100,0.012025658,1553
0.012276465,14.969805,250.46663,46.689056,1.2276465,96.26788,1.3484994,51.57295,0.019916613,0.00053036155,77.94712,62.68846,140.63558274340673,,1.9916612,-1,15.37,189190.06,15.38767671585083,100,27.533112,True,1.8477281,0.053036157,313.1551,[-0.002 -0.006  0.011  0.002  0.003 -0.013 -0.004  0.003  0.     0.  0.    -0.016],140.63559,9.358877,9.358877,2,54.120518,223.97049,200,0.14969805,3090
0.010266304,2.133122,213.53796,66.71196,1.0266304,73.55501,1.3067591,49.954937,0.003063482,0.0038089924,74.023544,81.07117,155.09470928121934,,0.30634823,-1,16.93,11991.143,24.51315402984619,100,91.82369,True,1.0951957,0.38089925,294.60913,[ 0.019 -0.009  0.016 -0.037 -0.039  0.06  -0.039 -0.085  0.     0.  0.    -0.07 ],155.09471,9.359939,9.359939,3,91.307884,166.04895,300,0.021331219,4783
0.010747259,7.155383,215.1777,75.036644,1.0747259,87.69349,1.3594218,46.555874,0.010231774,0.0029837599,95.49061,62.99906,158.48966385443225,,1.0231774,-1,17.29,34800.926,32.330233573913574,100,52.45566,True,1.4699954,0.298376,278.17676,[ 0.019 -0.013  0.021 -0.039 -0.04   0.046 -0.03  -0.086  0.     0.  0.    -0.112],158.48967,9.359759,9.359759,4,68.02743,188.87474,400,0.07155383,6512
0.010829317,6.395279,232.62823,77.56558,1.0829318,93.580605,1.342529,51.905155,0.007893113,0.003063979,90.51014,81.205605,171.71573442146916,,0.7893114,-1,18.72,24424.93,40.831743478775024,100,65.30635,True,1.3503119,0.3063979,313.83383,[ 0.024  0.006  0.034 -0.027 -0.028  0.062 -0.012 -0.107  0.     0.  0.    -0.06 ],171.71574,9.359385,9.359385,5,74.05697,202.98582,500,0.06395279,8384
0.010507608,5.7809534,428.9061,25.77356,1.0507607,37.292572,1.3209882,55.5468,0.006510972,0.0025234227,103.88459,72.22971,176.1142945506316,,0.6510973,-1,19.19,68520.27,50.22471833229065,100,72.25651,True,1.2898337,0.25234228,501.1358,[ 0.037  0.006  0.036 -0.02  -0.028  0.101 -0.026 -0.154  0.     0.  0.    -0.076],176.1143,9.359381,9.359381,6,77.52937,208.03583,600,0.05780953,10303
0.010400822,1.5402184,325.09338,90.384445,1.0400822,100.144905,1.3146403,61.842964,0.0023085605,0.0043361974,131.05399,81.226364,212.28035578777457,,0.23085606,-1,23.08,13414.699,60.85253667831421,100,95.30473,True,1.0655777,0.43361977,406.31976,[ 0.011  0.01   0.045 -0.011 -0.003  0.069 -0.048 -0.189  0.     0.  0.    -0.098],212.28035,9.35991,9.35991,7,93.8458,225.9742,700,0.015402183,12611
0.010264802,1.9194897,371.20233,62.695923,1.0264802,68.74487,1.3265501,66.38575,0.0030636943,0.0033620922,123.436905,72.31389,195.75079960483296,,0.30636945,-1,21.3,14921.586,70.60418128967285,100,91.820435,True,1.0880535,0.33620924,443.5162,[-0.004  0.02   0.03  -0.031 -0.02   0.048 -0.055 -0.198  0.     0.  0.    -0.104],195.7508,9.359338,9.359338,8,91.90725,207.53413,800,0.019194897,14741
0.010945263,1.8771331,289.3203,96.22114,1.0945263,113.53348,1.331469,54.355026,0.003103238,0.0038937468,106.97612,108.6302,215.60631498853297,,0.3103238,-1,23.43,20907.283,81.91226172447205,100,92.55954,True,1.145439,0.38937467,397.95053,[-0.014  0.029  0.027 -0.023 -0.014  0.042 -0.046 -0.206  0.     0.  0.    -0.092],215.60632,9.359695,9.359695,9,87.30277,241.30566,900,0.018771332,17084
0.011183738,4.193031,444.96585,60.262833,1.118374,78.06418,1.3588728,75.43711,0.0070793172,0.0017951366,136.63313,81.59921,218.23235435880065,,0.70793176,-1,23.72,36462.78,92.74401569366455,100,71.39339,True,1.2803437,0.17951366,526.56506,[ 0.003  0.017  0.03  -0.007  0.003  0.03  -0.042 -0.225  0.     0.  0.    -0.087],218.23235,9.359909,9.359909,10,78.104034,256.81027,1000,0.041930307,19456
0.011199377,3.623528,299.86563,99.80895,1.1199377,124.8642,1.3676618,66.81985,0.0059215697,0.0031268864,107.36219,117.72349,225.0856788449545,,0.59215695,-1,24.44,45254.74,102.98260021209717,100,78.15142,True,1.3543909,0.31268865,417.5891,[-0.017  0.012  0.043  0.012  0.021 -0.01  -0.04  -0.23   0.     0.  0.    -0.06 ],225.08568,9.359874,9.359874,11,73.83393,270.65912,1100,0.03623528,21900
0.010606731,2.1072867,464.77084,73.67575,1.0606731,94.09099,1.3399806,89.15323,0.0044008833,0.0017090708,143.33115,99.67978,243.01092744179255,,0.44008836,-1,26.38,36076.48,114.22336530685425,100,85.31305,True,1.197365,0.17090708,564.4506,[-0.037  0.028  0.016 -0.015 -0.006 -0.022 -0.037 -0.257  0.     0.  0.    -0.051],243.01093,9.359902,9.359902,12,83.516716,279.3846,1200,0.021072866,24538
0.010171507,1.809764,334.13254,104.53404,1.0171506,108.55759,1.352784,65.117256,0.0019339115,0.0063455068,102.29481,146.39859,248.69338792540356,,0.19339116,-1,26.96,27651.994,125.84716320037842,100,96.51117,True,1.0378953,0.6345507,480.53113,[-0.045  0.036  0.004 -0.006  0.004 -0.035 -0.044 -0.286  0.     0.  0.    -0.079],248.6934,9.359983,9.359983,13,96.34883,255.423,1300,0.01809764,27234
0.014395448,30.369051,347.1209,101.04004,1.4395448,169.24399,1.4362344,77.86736,0.032259982,0.0010351248,116.54426,126.61724,243.16149334039164,,3.2259984,-1,26.36,1007240.8,136.91302609443665,100,16.605742,True,3.2791834,0.10351248,473.73816,[-0.045  0.052 -0.006 -0.001  0.008 -0.034 -0.043 -0.296  0.     0.  0.    -0.066],243.1615,9.35994,9.35994,14,30.495398,426.60483,1400,0.3036905,29870
0.010824523,2.3624797,383.88806,98.0977,1.0824523,114.56308,1.4132613,68.77488,0.0040167053,0.002485948,124.36342,127.00102,251.3644407753498,,0.40167055,-1,27.24,35527.395,147.80503678321838,100,87.89691,True,1.186469,0.24859479,510.8891,[-0.052  0.065 -0.014 -0.014 -0.024 -0.059 -0.016 -0.324  0.     0.  0.     0.017],251.36444,9.359656,9.359656,15,84.28371,281.5091,1500,0.023624796,32594
0.016559904,35.68893,402.82477,92.30232,1.6559905,234.36151,1.4211434,73.144295,0.035852965,7.516845e-05,111.8944,144.6505,256.54489966766045,,3.5852964,-1,27.8,1041869.44,160.09022760391235,100,17.582645,True,2.4728963,0.007516845,547.4753,[-0.063  0.071 -0.027 -0.052 -0.059 -0.069 -0.024 -0.343  0.     0.  0.    -0.006],256.54492,9.359888,9.359888,16,40.43841,492.6403,1600,0.3568893,35374
0.011166355,3.693236,445.31863,88.254074,1.1166354,120.57025,1.4133728,79.229996,0.0035319868,0.0062765754,119.93094,145.59818,265.52912502863256,,0.35319868,-1,28.77,58402.297,175.368714094162,100,90.90498,True,1.111453,0.62765753,590.9168,[-1.513e-02  8.594e-02 -4.086e-03 -8.908e-02 -1.074e-01 -1.071e-06  6.537e-02 -3.572e-01  0.000e+00  0.000e+00  0.000e+00  2.211e-03],265.5291,9.359876,9.359876,17,89.97231,307.4633,1700,0.03693236,38251
0.010364406,3.3422294,486.28455,75.041565,1.0364406,85.431595,1.3841555,82.34724,0.0037822893,0.0036334437,112.1369,155.41429,267.551195752591,,0.3782289,-1,28.97,42490.47,188.95762944221497,100,88.24767,True,1.0970117,0.36334437,641.69885,[-0.074  0.084 -0.027 -0.081 -0.115 -0.06  -0.009 -0.391  0.     0.  0.    -0.006],267.55118,9.3599,9.3599,18,91.15673,287.063,1800,0.03342229,41148
