InitialReturnMean,LearnableVariance,TimeElapsed,TimestepsSoFar,MeanIWNorm,InitialReturnMin,EpRewMean,MaxIW,InitialBound,InitialReturnMax,ESSRenyi,OptimizationReturnMean,Weights,EpLenMean,ReturnStepMax,OptimizationReturnMin,ReturnMeanIW,MeanEntropy,J_sample_variance,VarianceInit,ReturnStepMaxmin,MinIW,EpThisIter,MaxIWNorm,ESSClassic,InitialReturnStd,EmpiricalD2,Iteration,MinIWNorm,OptimizationReturnMax,StdIWNorm,Bound,EpisodesSoFar,StdIW,MeanIW
140.9131,True,1.867448329925537,1541,0.058892705,71.9772,140.91309345641758,501.1257,49.746124,303.8899,1.4302592,68.93589,[ 0.  0. -0. -0.  0. -0.  0. -0. -0.  0. -0.  0.],15.41,9.358955,,1457.9993,1.1599162,86736450.0,-1,9.358955,3.4525563e-11,100,5.0112567,1.3758483,46.609398,69.9174,1,3.4525562e-13,231.91269,0.4986179,695.6919,100,49.86179,5.889271
209.88225,True,5.946035861968994,3823,0.011322666,90.40843,209.88225035235476,3.2400742,91.278206,395.34677,85.292946,119.473816,[ 0.     0.01  -0.009  0.002  0.001  0.041  0.007 -0.13   0.     0.  0.    -0.259],22.82,9.359213,,230.5694,1.1396016,16511.744,-1,9.359213,0.41426557,100,0.032400742,82.516335,62.87715,1.1724299,2,0.0041426555,304.93835,0.0052118883,102.14638,200,0.5211888,1.1322668
188.9333,True,8.560405969619751,5881,0.011635926,81.25873,188.9333042098266,3.857639,72.3024,388.7697,71.248375,107.67458,[-0.006  0.02  -0.006  0.034  0.029  0.043 -0.001 -0.129  0.     0.  0.    -0.279],20.58,9.358883,,235.80325,1.0985544,39768.832,-1,9.358883,0.14362258,100,0.03857639,72.50692,57.59234,1.4035408,3,0.0014362257,307.511,0.0071651093,97.6293,300,0.71651095,1.1635926
214.42186,True,11.509974479675293,8211,0.01077122,81.614685,214.42183848737233,3.1096466,75.45126,463.2353,80.16813,132.80714,[ 0.013  0.006 -0.002 -0.003 -0.013  0.053 -0.007 -0.146  0.     0.  0.    -0.32 ],23.3,9.3593025,,248.57346,1.086138,31248.662,-1,9.3593025,0.21533895,100,0.031096464,82.008934,66.909035,1.2473785,4,0.0021533894,381.6206,0.0050450196,93.362625,400,0.50450194,1.0771221
208.86932,True,14.799088954925537,10482,0.010165561,72.12379,208.869319736311,2.0306497,103.32438,351.8164,95.68987,136.74554,[ 0.01   0.015 -0.005  0.001 -0.011  0.065 -0.003 -0.167  0.     0.  0.    -0.333],22.71,9.359739,,216.42159,1.0994217,11276.042,-1,9.359739,0.5786673,100,0.020306496,95.29359,55.576977,1.0450426,5,0.0057866727,279.69263,0.002259146,108.525826,500,0.22591461,1.0165561
225.09758,True,17.71454882621765,12926,0.013385782,81.4112,225.0975846456555,9.990452,36.81952,627.5936,54.745968,143.68639,[-0.002  0.046 -0.012 -0.    -0.006  0.084  0.009 -0.167  0.     0.  0.    -0.32 ],24.44,9.359903,,345.85577,1.0006903,208734.9,-1,9.359903,0.019577274,100,0.099904515,41.868645,71.44136,1.8266186,6,0.00019577274,546.18243,0.01577264,91.393326,600,1.577264,1.338578
261.6599,True,21.973591804504395,15762,0.011296468,90.539406,261.659915218043,4.653906,85.743,586.3898,71.43416,171.12051,[ 0.018  0.052 -0.009  0.008  0.007  0.086  0.041 -0.171  0.     0.  0.    -0.418],28.36,9.359871,,323.83133,1.0037655,58787.69,-1,9.359871,0.1402794,100,0.046539057,72.33242,83.858536,1.3998905,7,0.0014027939,495.85037,0.0069865356,115.69176,700,0.6986536,1.1296469
269.92496,True,24.669760704040527,18684,0.010160194,155.13284,269.92496557127,1.5326778,55.852814,713.574,97.07102,114.79212,[ 0.017  0.051 -0.008  0.011  0.01   0.086  0.051 -0.199  0.     0.  0.    -0.415],29.22,9.359708,,279.14932,1.0113523,37685.01,-1,9.359708,0.6464592,100,0.0153267775,97.06354,94.75349,1.0301735,8,0.006464592,558.44116,0.0017672061,61.871475,800,0.17672062,1.0160193
268.65753,True,28.77746891975403,21592,0.015145084,116.87302,268.6575331214073,52.44705,108.36873,534.29614,36.058647,151.78452,[ 0.013  0.068 -0.019  0.005  0.006  0.087  0.061 -0.197  0.     0.  0.    -0.408],29.08,9.359909,,454.32074,1.013854,1204233.8,-1,9.359909,0.08979199,100,0.52447045,7.7641563,76.903465,2.7732599,9,0.0008979199,417.42313,0.052200466,187.39001,900,5.2200465,1.5145084
266.82864,True,33.161144733428955,24482,0.010315596,126.8423,266.82865750256667,1.7719582,133.35527,444.91125,93.64066,139.98636,[-0.009  0.082 -0.026 -0.018 -0.006  0.041  0.066 -0.175  0.     0.  0.    -0.405],28.9,9.359239,,282.5578,0.992717,27181.19,-1,9.359239,0.582628,100,0.017719582,94.98323,74.0781,1.0679121,10,0.00582628,318.06897,0.0023707354,144.62663,1000,0.23707356,1.0315596
258.13736,True,37.6268367767334,27279,0.010392859,135.74474,258.1373541697934,2.586833,107.82344,501.04642,87.4402,122.39262,[-0.015  0.106 -0.023 -0.021 -0.009  0.064  0.09  -0.171  0.     0.  0.    -0.426],27.97,9.359667,,282.65366,0.96497095,39890.316,-1,9.359667,0.4525979,100,0.02586833,89.3313,74.33667,1.1436387,11,0.0045259786,365.3017,0.0035916069,121.90637,1100,0.3591607,1.0392859
