Iteration,InitialReturnMean,StdIWNorm,InitialReturnMin,EpLenMean,InitialReturnStd,J_sample_variance,EmpiricalD2,EpThisIter,MaxIWNorm,MeanEntropy,EpisodesSoFar,TimeElapsed,OptimizationReturnMax,OptimizationReturnMean,MeanIWNorm,EpRewMean,Weights,ReturnStepMaxmin,TimestepsSoFar,InitialReturnMax,MinIW,MaxIW,ESSClassic,ReturnMeanIW,ESSRenyi,Bound,VarianceInit,InitialBound,LearnableVariance,ReturnStepMax,MinIWNorm,StdIW,MeanIW,OptimizationReturnMin
1,130.98862,0.0009705651,53.751568,14.34,43.29356,5018.464,1.0081623,100,0.012069964,1.4024228,100,2.166621208190918,214.03532,77.23707,0.010008023,130.98863667640103,[ 0. -0. -0. -0. -0. -0. -0. -0.  0.  0.  0.  0.],9.3598995,1434,267.7869,0.8091154,1.2069964,99.06827,131.93929,99.190384,51.276024,-1,50.652565,True,9.3598995,0.008091154,0.097056516,1.0008023,
2,138.18695,0.06926061,63.058777,15.11,48.08518,890557.25,6.136877,100,0.5188049,1.5242425,200,5.583038806915283,223.47095,75.128174,0.022069694,138.18694510739647,[ 0.003 -0.005  0.005  0.    -0.001 -0.     0.    -0.002  0.     0.  0.    -0.017],9.359469,2945,286.52972,0.1246537,51.880493,9.217676,383.41708,16.294933,170.47346,-1,52.228035,True,9.359469,0.001246537,6.9260607,2.2069695,
3,150.92119,0.0022786933,62.70491,16.49,43.303387,7243.8066,1.0613328,100,0.01566983,1.4987785,300,8.961943626403809,196.22295,88.21628,0.010424909,150.92118745629193,[-0.015  0.01  -0.019 -0.007  0.004  0.019 -0.029 -0.084  0.     0.  0.     0.105],9.359426,4594,258.92786,0.29350775,1.566983,95.44009,158.74341,94.22115,78.71838,-1,73.24282,True,9.359426,0.0029350775,0.22786932,1.0424911,
4,167.02534,0.011102581,62.904987,18.22,55.731876,102773.24,1.7145087,100,0.07116808,1.4261467,400,11.969079494476318,398.7336,104.12037,0.012408022,167.02535387845842,[-0.012 -0.002 -0.011  0.02   0.035 -0.003 -0.035 -0.089  0.     0.  0.     0.08 ],9.359684,6416,461.6386,0.06697187,7.116808,55.535484,243.19371,58.32575,61.85388,-1,28.533783,True,9.359684,0.00066971866,1.1102582,1.2408022,
5,174.70743,0.0045865946,81.19988,19.05,53.15292,18856.98,1.235418,100,0.023500947,1.4060594,500,15.910685777664185,233.32648,93.50753,0.010353544,174.70741392031104,[-0.044  0.028 -0.016  0.002  0.014  0.017 -0.024 -0.129  0.     0.  0.     0.007],9.359719,8321,314.52637,0.18282586,2.3500948,83.59477,196.79736,80.94427,91.91916,-1,80.34951,True,9.359719,0.0018282586,0.4586595,1.0353543,
6,192.29594,0.0039594555,99.57778,20.93,64.697235,25117.154,1.1896104,100,0.023034941,1.3775054,600,19.182761669158936,352.31314,92.71816,0.010687362,192.29595028901375,[-0.055  0.05  -0.006  0.011  0.027 -0.002  0.001 -0.136  0.     0.  0.    -0.013],9.35983,10414,451.89093,0.30270725,2.3034942,87.93098,220.44221,84.061134,72.57999,-1,56.728653,True,9.35983,0.0030270724,0.39594558,1.0687361,
7,214.10675,0.0026137123,72.38562,23.27,71.23245,17426.248,1.0844362,100,0.01634418,1.3630847,700,22.603134155273438,426.6722,141.72113,0.010399195,214.10674824635737,[-0.057  0.058 -0.001 -0.004  0.013 -0.007  0.029 -0.141  0.     0.  0.    -0.041],9.359617,12741,499.05783,0.45308113,1.634418,94.05827,232.70546,92.21382,76.795395,-1,64.389404,True,9.359617,0.004530811,0.26137123,1.0399196,
8,210.8243,0.0035354153,90.1431,22.91,69.46022,27909.062,1.1358439,100,0.023960875,1.3619245,800,26.294875860214233,447.17502,120.68122,0.0105775045,210.82431418724383,[-0.078  0.058  0.002  0.005  0.008 -0.037  0.03  -0.151  0.     0.  0.    -0.056],9.359675,15032,537.3181,0.32965833,2.3960876,89.95105,233.75868,88.04027,61.963074,-1,49.62889,True,9.359675,0.0032965832,0.35354155,1.0577503,
9,217.04898,0.0019099421,81.807816,23.58,63.954056,13591.223,1.0488937,100,0.016052445,1.3357384,900,30.388319969177246,373.6632,135.24117,0.010303745,217.0489820337639,[-0.079  0.062  0.017  0.033  0.029 -0.054  0.057 -0.145  0.     0.  0.    -0.057],9.359733,17390,455.47104,0.52402115,1.6052445,96.67817,227.35655,95.33855,87.41466,-1,80.40767,True,9.359733,0.0052402113,0.19099422,1.0303745,
10,223.34013,0.0038157234,72.02248,24.26,62.790146,17444.227,1.1813463,100,0.021431547,1.3137084,1000,35.63544821739197,364.6808,151.31764,0.010931837,223.34012899176912,[-0.093  0.07   0.012  0.041  0.035 -0.081  0.046 -0.152  0.     0.  0.    -0.083],9.359778,19816,436.70325,0.22139576,2.1431546,89.13976,251.39998,84.649185,109.004486,-1,92.32915,True,9.359778,0.0022139575,0.38157234,1.0931839,
11,219.12048,0.004756786,90.08277,23.8,62.151108,22111.309,1.1957023,100,0.021687293,1.2780725,1100,39.963014364242554,316.7994,129.03773,0.010378892,219.1204963485874,[-0.097  0.071  0.011  0.028  0.019 -0.113  0.061 -0.16   0.     0.  0.    -0.105],9.359283,22196,406.88217,0.19704866,2.1687293,82.64113,241.35509,83.63286,107.87962,-1,97.055855,True,9.359283,0.0019704865,0.4756786,1.0378891,
12,248.2646,0.012794184,117.82858,26.93,82.31939,356154.44,1.6762853,100,0.11113535,1.2201692,1200,43.96888852119446,509.70804,130.43604,0.011874806,248.26461598897367,[-0.088  0.076  0.023  0.01   0.007 -0.117  0.1   -0.155  0.     0.  0.    -0.141],9.359605,24889,627.5366,0.07045754,11.113535,46.278316,357.42526,59.655716,113.681076,-1,60.00363,True,9.359605,0.0007045754,1.2794185,1.1874806,
13,244.28116,0.0049683983,146.07993,26.51,55.20633,32670.006,1.1683865,100,0.03730974,1.246276,1300,48.83845829963684,306.7546,98.20121,0.010580012,244.28113967956506,[-0.069  0.102  0.02   0.015  0.025 -0.094  0.183 -0.148  0.     0.  0.    -0.199],9.359905,27540,452.83453,0.35137165,3.7309742,81.931854,265.59576,85.58812,118.7525,-1,108.430786,True,9.359905,0.0035137164,0.49683982,1.058001,
14,262.48816,0.008991401,127.141525,28.44,69.0744,70916.8,1.4903721,100,0.049957007,1.1711437,1400,54.70900273323059,419.6634,135.34662,0.0118547175,262.4881402613709,[-0.07   0.1    0.014  0.017  0.022 -0.11   0.155 -0.177  0.     0.  0.    -0.173],9.359675,30384,546.80493,0.16688612,4.995701,63.481148,333.1923,67.097336,132.92915,-1,98.446655,True,9.359675,0.0016688611,0.8991401,1.1854719,
15,287.46222,0.0051134904,163.11383,31.13,72.55121,47280.88,1.238837,100,0.024380814,1.1291947,1500,60.92781901359558,308.84506,124.34841,0.010736811,287.4622327163254,[-0.071  0.116  0.005  0.01   0.018 -0.08   0.161 -0.186  0.     0.  0.    -0.248],9.359872,33497,471.9589,0.08392879,2.4380815,81.511444,320.18646,80.72087,162.59506,-1,145.87456,True,9.359872,0.00083928794,0.51134914,1.0736812,
16,261.90115,0.007814003,135.81485,28.39,57.743225,41478.367,1.3823595,100,0.037677202,1.0697067,1600,66.95729756355286,290.8118,126.08628,0.011273986,261.9011301722155,[-7.407e-02  1.229e-01  2.004e-04  8.156e-03  1.535e-02 -9.939e-02  1.729e-01 -2.019e-01  0.000e+00  0.000e+00  0.000e+00 -2.898e-01],9.359925,36336,426.62665,0.060126532,3.7677202,67.549866,305.63522,72.34008,155.15489,-1,133.91315,True,9.359925,0.0006012653,0.78140026,1.1273987,
