ReturnStepMaxmin,OptimizationReturnMax,Iteration,EpRewMean,LearnableVariance,TimeElapsed,ReturnStepMax,InitialReturnMean,ESSClassic,InitialBound,ReturnMeanIW,InitialReturnStd,MeanEntropy,VarianceInit,EpThisIter,Weights,MinIW,MinIWNorm,MaxIWNorm,EpLenMean,StdIWNorm,J_sample_variance,MaxIW,TimestepsSoFar,Bound,ESSRenyi,MeanIW,EpisodesSoFar,InitialReturnMin,MeanIWNorm,OptimizationReturnMin,StdIW,EmpiricalD2,InitialReturnMax,OptimizationReturnMean
9.359109,203.76288,1,144.84173475023292,True,0.7965502738952637,9.359109,144.84174,76.710526,64.8302,174.49718,47.498314,1.3467454,-1,100,[-0.  0.  0.  0. -0. -0.  0. -0.  0. -0. -0.  0.],0.09913118,0.0009913117,0.030189028,15.83,0.006150482,15722.826,3.0189028,1583,81.962685,74.7649,1.1162379,100,62.942192,0.011162378,,0.6150482,1.3375261,266.70508,81.89954
9.359315,298.14877,2,148.44592320135087,True,2.362015724182129,9.359315,148.44592,79.60239,40.04387,180.40775,49.704067,1.2795564,-1,100,[-0.002 -0.008  0.014 -0.007 -0.005 -0.032  0.016 -0.006  0.     0.  0.    -0.072],0.23955728,0.0023955728,0.046403054,16.22,0.0056329025,20789.936,4.6403055,3205,58.729523,79.36871,1.1127702,200,63.191425,0.011127701,,0.56329024,1.2599423,361.3402,85.25449
9.359788,231.53932,3,157.87164818627323,True,3.3310916423797607,9.359788,157.87164,93.766495,69.45675,167.2277,48.46179,1.2937584,-1,100,[-0.013  0.011  0.009  0.006  0.015 -0.022  0.017 -0.024  0.     0.  0.    -0.139],0.4271197,0.004271197,0.02222236,17.23,0.002627146,9773.334,2.2222362,4928,76.080315,94.09411,1.0189236,300,63.17705,0.010189236,,0.26271462,1.0627658,294.71637,94.6946
9.359688,299.182,4,161.66173462510903,True,4.312402009963989,9.359688,161.66174,97.13028,53.052307,166.92902,48.861164,1.3088229,-1,100,[-0.013 -0.007  0.032  0.017  0.019 -0.069 -0.012 -0.047  0.     0.  0.    -0.125],0.7185203,0.0071852026,0.019577742,17.64,0.001749137,8943.8,1.9577742,6692,56.91652,97.46552,1.0176157,400,62.84944,0.010176158,,0.1749137,1.0260038,362.03143,98.8123
9.359636,298.42047,5,174.44003044405403,True,5.175446271896362,9.359636,174.44002,82.665565,60.544647,199.44106,51.151882,1.2993203,-1,100,[-0.     0.007  0.038  0.006  0.018 -0.041  0.005 -0.048  0.     0.  0.    -0.11 ],0.3362082,0.003362082,0.027528845,19.01,0.0049575497,17468.316,2.7528846,8593,73.68339,82.02443,1.0826161,500,81.23078,0.010826159,,0.49575496,1.219149,379.65125,93.20926
9.359453,324.901,6,175.8248964413857,True,6.121020317077637,9.359453,175.8249,74.829315,59.432335,198.94673,55.19969,1.3159943,-1,100,[ 0.003  0.01   0.036  0.001  0.013 -0.036  0.003 -0.077  0.     0.  0.    -0.12 ],0.3924011,0.003924011,0.04402416,19.16,0.006268719,18182.613,4.4024158,10509,70.234146,81.77272,1.0808545,600,63.074215,0.010808544,,0.626872,1.2229017,387.97522,112.75067
9.359801,268.81958,7,182.22130583449646,True,7.126683950424194,9.359801,182.22128,56.676655,74.42223,213.13257,55.397118,1.357969,-1,100,[ 0.01   0.012  0.038  0.003  0.011 -0.018 -0.003 -0.107  0.     0.  0.    -0.103],0.20378767,0.0020378768,0.08640144,19.86,0.009789472,23143.781,8.640144,12495,87.90239,74.098946,1.1196964,700,90.510666,0.0111969635,,0.9789473,1.3495469,359.33023,91.71063
9.359999,371.5064,8,202.45413798843762,True,8.072726249694824,9.359999,202.45415,86.56847,72.082184,222.41202,62.40903,1.3294032,-1,100,[-0.007  0.006  0.042  0.007  0.015 -0.044 -0.013 -0.139  0.     0.  0.    -0.061],0.13660537,0.0013660536,0.025592992,22.01,0.0041430793,16494.191,2.5592992,14696,82.57579,86.92185,1.0518175,800,63.066803,0.010518176,,0.4143079,1.1504587,434.5732,139.38733
9.3596735,288.76178,9,200.12919555978038,True,9.090076446533203,9.3596735,200.12917,1.0000844,89.13966,498613.22,56.353603,0.86675483,-1,100,[-0.008  0.021  0.039 -0.005  0.001 -0.032 -0.018 -0.162  0.     0.  0.    -0.09 ],2.0720017e-16,2.0720016e-18,3626.98,21.76,360.87985,4252048800000.0,362698.0,16872,439542.12,0.00035303173,3627.133,900,81.203354,36.27133,,36087.98,283260.66,369.96512,118.92584
9.359971,194.09628,10,120.52567882909106,True,10.627593755722046,9.359971,120.52567,95.82975,43.35183,127.43367,36.093517,0.85793346,-1,100,[-0.002  0.061  0.034 -0.142 -0.136  0.018 -0.042 -0.031  0.     0.  0.    -0.552],0.67386794,0.0067386795,0.020360682,13.21,0.0021656957,6551.33,2.0360682,18193,48.51454,95.625946,1.0381666,1000,63.14987,0.010381666,,0.21656956,1.0457413,257.24615,57.375805
9.359467,204.15355,11,126.4805454283048,True,11.516099214553833,9.359467,126.480545,94.97158,49.040085,130.79294,38.411068,0.8471668,-1,100,[-0.008  0.051  0.05  -0.128 -0.121 -0.005 -0.065 -0.034  0.     0.  0.    -0.561],0.6300583,0.0063005826,0.021927966,13.85,0.0023523,5348.8066,2.1927967,19578,52.074333,96.77902,1.02229,1100,53.98137,0.010222901,,0.23523004,1.0332818,258.13492,72.499176
9.359437,234.09615,12,128.0320224464387,True,12.459359407424927,9.359437,128.03203,1.1242038,38.8733,2989.1343,44.444263,0.8769758,-1,100,[-0.006  0.046  0.055 -0.113 -0.104 -0.012 -0.066 -0.028  0.     0.  0.    -0.572],0.0028699758,2.8699757e-05,10.699922,14.01,1.0642188,483637000.0,1069.9922,20979,1588.8242,0.4053958,11.347713,1200,63.09959,0.11347714,,106.421875,246.67252,297.19574,64.93243
9.359769,268.38297,13,172.4313781972436,True,13.839025974273682,9.359769,172.43137,18.969456,67.55922,298.89243,56.260464,0.8353047,-1,100,[ 0.005  0.037  0.04  -0.054 -0.048  0.03  -0.103 -0.126  0.     0.  0.    -0.542],0.092355534,0.00092355534,0.2799105,18.79,0.028047401,575738.75,27.99105,22858,139.1817,43.11737,1.3570492,1300,81.190895,0.013570492,,2.8047397,2.3192508,349.57385,91.240486
9.359755,323.89166,14,192.96578520983883,True,15.007670402526855,9.359755,192.96577,91.40274,71.309364,204.66063,59.90481,0.81939846,-1,100,[ 0.013  0.037  0.039 -0.022 -0.018  0.051 -0.116 -0.165  0.     0.  0.    -0.584],0.31124476,0.0031124474,0.022857632,21.01,0.0031489565,14928.129,2.2857633,24959,78.08658,92.38061,1.0267526,1400,81.62979,0.010267526,,0.31489563,1.0824783,405.52145,111.336
9.359935,270.91016,15,194.6107190551711,True,16.010395765304565,9.359935,194.61072,91.076324,86.16444,206.89899,52.906048,0.8163222,-1,100,[ 0.019  0.035  0.041 -0.026 -0.024  0.056 -0.12  -0.179  0.     0.  0.    -0.6  ],0.31702206,0.0031702204,0.022433946,21.18,0.0032187037,15563.796,2.2433946,27077,93.017426,90.68233,1.028281,1500,90.577515,0.01028281,,0.3218704,1.1027507,361.48767,104.0332
9.359814,316.43683,16,198.0842374588593,True,17.006827354431152,9.359814,198.08424,53.865486,84.2008,239.42294,60.384975,0.88800037,-1,100,[ 0.025  0.031  0.048 -0.036 -0.034  0.051 -0.112 -0.183  0.     0.  0.    -0.603],0.2682798,0.0026827978,0.06587083,21.55,0.01016323,69864.4,6.587083,29232,101.17287,67.856346,1.0981812,1600,63.17468,0.010981812,,1.0163229,1.4737016,379.6115,134.90956
9.359916,485.69318,17,218.70773908730726,True,18.07557439804077,9.359916,218.70773,88.07506,40.371857,238.83563,66.16955,0.90627104,-1,100,[ 0.032  0.024  0.043 -0.022 -0.028  0.047 -0.11  -0.192  0.     0.  0.    -0.531],0.41180113,0.0041180113,0.023653064,23.76,0.0038575486,27165.846,2.3653064,31608,50.25084,89.42603,1.0483577,1700,108.75969,0.010483577,,0.38575485,1.1182426,594.4529,109.948044
9.359929,271.66672,18,209.65788682203814,True,19.082207202911377,9.359929,209.6579,88.60726,101.01221,224.24304,54.726665,0.8949019,-1,100,[ 0.041  0.026  0.045 -0.015 -0.024  0.062 -0.111 -0.204  0.     0.  0.    -0.513],0.25956753,0.0025956752,0.019466484,22.8,0.0036736967,17440.08,1.9466484,33888,108.66036,88.3567,1.0245283,1800,90.485565,0.010245281,,0.36736968,1.1317761,362.15228,119.17232
9.35973,307.81223,19,211.369139766649,True,20.015878438949585,9.35973,211.36916,53.741432,94.7783,279.02032,57.08909,0.9285443,-1,100,[ 0.046  0.03   0.041 -0.029 -0.041  0.071 -0.098 -0.209  0.     0.  0.    -0.524],0.09813889,0.0009813888,0.064040795,22.96,0.010858609,61281.676,6.40408,36184,123.151505,55.951332,1.1703959,1900,80.823944,0.011703957,,1.085861,1.7872676,388.63617,130.5452
9.359785,342.7975,20,224.55104841543059,True,21.029459714889526,9.359785,224.55106,85.13221,100.05335,246.63647,63.980972,0.9318236,-1,100,[ 0.054  0.024  0.047 -0.008 -0.021  0.066 -0.088 -0.227  0.     0.  0.    -0.49 ],0.16033833,0.0016033832,0.022857998,24.39,0.0044355043,18340.38,2.2857997,38623,111.42467,84.77998,1.0613705,2000,72.19484,0.010613705,,0.44355047,1.1795237,414.9923,152.35622
9.359808,340.90958,21,240.83868730172776,True,22.059878826141357,9.359808,240.83867,84.4551,111.251114,266.50842,54.47577,0.9551792,-1,100,[ 0.056  0.033  0.043 -0.016 -0.031  0.084 -0.076 -0.239  0.     0.  0.    -0.487],0.35204938,0.0035204936,0.04090754,26.12,0.0046868916,19444.469,4.090754,41235,127.40697,86.78872,1.0924555,2100,91.04899,0.0109245535,,0.46868914,1.1522235,431.95856,149.7897
9.359682,281.92737,22,246.35561052709943,True,23.02530002593994,9.359682,246.3556,58.320923,115.667496,325.61395,64.04658,0.8829957,-1,100,[ 0.059  0.033  0.042 -0.025 -0.036  0.09  -0.075 -0.256  0.     0.  0.    -0.464],0.041851364,0.00041851363,0.0644561,26.72,0.010039987,91478.44,6.44561,43907,157.62347,60.52055,1.1876439,2200,153.69966,0.011876439,,1.0039986,1.6523314,435.62704,92.65596
9.359857,457.11536,23,278.59330694080387,True,24.344491481781006,9.359857,278.5933,58.910847,95.20387,348.77237,79.863495,0.81359875,-1,100,[ 0.045  0.043  0.031 -0.003 -0.009  0.097 -0.073 -0.27   0.     0.  0.    -0.536],0.05612314,0.0005612314,0.062268943,30.17,0.009408182,123095.04,6.2268944,46924,123.70857,66.395325,1.1265223,2300,154.18288,0.011265223,,0.94081825,1.5061302,611.2982,124.41044
9.35942,334.26337,24,280.7479672600191,True,25.589300394058228,9.35942,280.74796,87.836624,134.14482,301.5437,70.42267,0.8346546,-1,100,[ 0.058  0.038  0.02  -0.005 -0.011  0.099 -0.066 -0.286  0.     0.  0.    -0.605],0.4130039,0.004130039,0.026524596,30.42,0.0038735524,39659.824,2.6524596,49966,146.36987,89.258484,1.0409272,2400,154.41376,0.010409271,,0.38735524,1.1203417,488.67712,126.33422
9.3593645,343.06036,25,287.55794473615833,True,26.687584400177002,9.3593645,287.55795,85.32569,129.94516,326.29758,70.23279,0.8333321,-1,100,[ 0.055  0.039  0.017 -0.005 -0.011  0.103 -0.06  -0.296  0.     0.  0.    -0.584],0.15064272,0.0015064272,0.028538598,31.13,0.0044610435,56637.668,2.85386,53079,152.99109,82.70908,1.0757152,2500,182.31555,0.010757151,,0.44610438,1.2090571,525.3759,105.242386
9.359841,431.62033,26,301.0685954250674,True,27.867191314697266,9.359841,301.0686,88.52516,119.695145,341.4208,77.70073,0.83004,-1,100,[ 0.048  0.046  0.012 -0.002 -0.008  0.108 -0.061 -0.319  0.     0.  0.    -0.586],0.2837195,0.002837195,0.022010144,32.56,0.0040196795,50858.754,2.2010145,56335,144.57452,84.897156,1.1164821,2600,172.95792,0.01116482,,0.40196797,1.1778958,604.57825,128.11069
