TimestepsSoFar,TimeElapsed,Iteration,EmpiricalD2,Weights,MaxIW,InitialBound,InitialReturnStd,EpThisIter,OptimizationReturnMean,EpisodesSoFar,MinIWNorm,ReturnStepMax,Bound,InitialReturnMean,EpLenMean,InitialReturnMax,ReturnStepMaxmin,OptimizationReturnMax,StdIW,MeanIWNorm,ESSClassic,MeanEntropy,OptimizationReturnMin,LearnableVariance,MaxIWNorm,StdIWNorm,InitialReturnMin,ESSRenyi,EpRewMean,MeanIW,MinIW,J_sample_variance,ReturnMeanIW,VarianceInit
1653,0.7468235492706299,1,5.5259986,[-0. -0. -0.  0. -0. -0.  0. -0.  0.  0. -0.  0.],45.832222,32.864044,59.270077,100,88.36097,100,0.00028824699,9.359771,136.57156,151.33287,16.53,394.89606,9.359771,331.92416,5.9401116,0.018051878,8.454586,1.4299766,,True,0.4583222,0.059401106,62.97189,18.096277,151.33286619289186,1.805188,0.0288247,1955687.4,415.06146,-1
3499,2.524249792098999,2,1.076287,[ 0.007  0.005  0.007  0.022  0.018  0.022  0.002 -0.086  0.     0.  0.     0.011],1.5709778,27.859818,63.826893,100,87.96968,200,0.004341144,9.359388,36.818375,169.24649,18.46,471.28888,9.359388,390.0121,0.23939095,0.010404226,94.97205,1.4089384,,True,0.015709778,0.0023939097,81.27681,92.91202,169.24648394246162,1.0404228,0.43411443,13912.927,183.49892,-1
5502,3.5448904037475586,3,1.0934638,[ 0.008  0.025  0.009  0.004 -0.001  0.032  0.024 -0.086  0.     0.  0.    -0.01 ],1.7719579,89.72882,53.95951,100,93.16871,300,0.0040297923,9.359907,97.39371,183.92319,20.03,313.9812,9.359907,223.22675,0.2663539,0.010481176,93.933754,1.4127198,,True,0.017719578,0.0026635388,90.75446,91.45251,183.9231758642957,1.0481175,0.40297925,13980.603,195.89163,-1
7501,4.638775587081909,4,1.1449467,[-0.001  0.041  0.006  0.032  0.032  0.026  0.022 -0.096  0.     0.  0.    -0.006],1.9968016,69.48804,57.962,100,111.14544,400,0.003244013,9.359987,80.31057,183.39618,19.99,379.69382,9.359987,307.44308,0.36444652,0.010487162,89.22454,1.4116353,,True,0.019968016,0.0036444648,72.25073,87.34031,183.39617740193583,1.0487163,0.32440132,14156.375,202.19476,-1
9606,5.895855188369751,5,1.4857843,[ 0.002  0.051  0.01   0.031  0.031  0.027  0.05  -0.103  0.     0.  0.    -0.007],3.7723448,88.35228,54.921505,100,112.30091,500,0.00044499172,9.359658,118.0831,193.48073,21.05,350.42813,9.359658,269.24832,0.7596981,0.011801939,70.70347,1.34099,,True,0.037723448,0.0075969812,81.17982,67.30452,193.48072713812545,1.1801939,0.044499174,29766.176,246.22705,-1
11850,7.100579500198364,6,1.3685445,[-0.005  0.055  0.004  0.009  0.007 -0.001  0.056 -0.123  0.     0.  0.    -0.078],3.5838046,86.58488,59.956512,100,97.564186,600,0.0020118488,9.35938,108.32597,206.31476,22.44,399.09958,9.35938,290.34903,0.6980329,0.011128657,71.76542,1.2637479,,True,0.035838045,0.0069803293,108.75056,73.070335,206.31475584259965,1.1128658,0.2011849,36676.758,248.39174,-1
14312,8.49753189086914,7,1.051035,[ 0.011  0.06   0.008  0.029  0.012  0.006  0.082 -0.129  0.     0.  0.    -0.155],1.6730767,90.32832,63.97983,100,117.68746,700,0.0052144825,9.35976,101.50911,226.71184,24.62,454.6117,9.35976,345.58734,0.20997417,0.010402727,96.085335,1.2590489,,True,0.016730767,0.0020997417,109.02437,95.1443,226.71182707291663,1.0402727,0.52144825,20562.68,241.32948,-1
16700,9.56296682357788,8,1.099803,[-0.003  0.061 -0.012  0.019  0.003 -0.025  0.047 -0.15   0.     0.  0.    -0.16 ],3.4730337,72.23807,72.13918,100,110.83014,800,0.0053478274,9.359695,83.206955,219.66199,23.88,491.4131,9.359695,382.58124,0.34600434,0.010449732,90.11967,1.2691008,,True,0.034730338,0.0034600436,108.831856,90.92538,219.661984833914,1.0449733,0.53478277,34801.84,237.81262,-1
19071,10.556662321090698,9,1.0201066,[ 0.008  0.071 -0.01   0.039  0.025  0.003  0.066 -0.147  0.     0.  0.    -0.15 ],1.4023249,99.26673,58.306934,100,90.55566,900,0.0070901774,9.359968,101.550865,218.2786,23.71,396.70624,9.359968,268.9833,0.14582556,0.010205208,97.99901,1.2653846,,True,0.014023249,0.0014582555,127.72293,98.02898,218.27859521470324,1.0205208,0.70901775,20927.438,221.75323,-1
21593,11.767119407653809,10,3.5680845,[ 0.022  0.071  0.009  0.037  0.023  0.003  0.077 -0.138  0.     0.  0.    -0.154],69.59027,45.660034,76.57874,100,132.34814,1000,0.00044283754,9.359871,126.013306,232.41623,25.22,622.5206,9.359871,522.4525,7.517116,0.020025162,6.626345,1.2119172,,True,0.6959027,0.075171165,100.068085,28.026243,232.4162252389194,2.0025165,0.044283755,1527119.9,478.78406,-1
