Bound,ReturnMeanIW,LearnableVariance,ESSRenyi,OptimizationReturnMin,StdIW,MinIW,MeanIW,EpThisIter,TimeElapsed,TimestepsSoFar,MeanIWNorm,InitialReturnMin,Iteration,J_sample_variance,OptimizationReturnMax,MeanEntropy,Weights,InitialReturnMax,ESSClassic,MaxIWNorm,MaxIW,EpLenMean,EpisodesSoFar,StdIWNorm,ReturnStepMaxmin,ReturnStepMax,InitialReturnMean,EpRewMean,OptimizationReturnMean,MinIWNorm,VarianceInit,InitialReturnStd,InitialBound,EmpiricalD2
139.74992,317.82657,True,68.87884,,0.6633393,0.041357733,1.1277138,100,38.195136308670044,29600,0.011277139,108.43448,14,64878.535,384.2043,1.1602775,[-0.081  0.093 -0.046 -0.036 -0.029  0.033 -0.006 -0.226  0.     0.  0.    -0.228],492.6388,74.294304,0.042310614,4.2310615,27.37,1400,0.006633393,9.359781,9.359781,252.5542,252.5541935119332,144.1197,0.00041357733,-1,74.57299,104.76257,1.4518248
136.15764,313.88675,True,76.0075,,0.55125517,0.08211193,1.0858554,100,42.74503540992737,32484,0.010858553,117.94375,15,47904.62,398.55057,1.1508648,[-0.086  0.099 -0.064 -0.018 -0.011  0.02  -0.019 -0.265  0.     0.  0.    -0.259],516.4943,79.50845,0.02317416,2.317416,28.84,1500,0.005512552,9.359739,9.359739,266.34964,266.3496232407012,148.40587,0.0008211193,-1,80.97536,111.40132,1.3156596
73.791794,302.22974,True,95.33375,,0.21990165,0.5827706,1.0193194,100,47.770689249038696,35594,0.010193195,126.491974,16,35363.246,616.98987,1.150374,[-0.101  0.114 -0.072  0.001  0.01   0.018 -0.019 -0.293  0.     0.  0.    -0.268],743.4818,95.552864,0.018815447,1.8815447,31.1,1600,0.0021990163,9.359758,9.359758,287.51816,287.51814784021093,161.02617,0.005827706,-1,107.700584,64.4736,1.0489465
136.00128,335.6108,True,81.79971,,0.6185014,0.33552408,1.0820473,100,51.91305875778198,38716,0.010820474,135.61407,17,93685.75,466.1634,1.1776603,[-0.102  0.109 -0.084  0.002  0.008  0.003 -0.026 -0.31   0.     0.  0.    -0.269],601.77747,75.37329,0.051393293,5.1393294,31.22,1700,0.0061850143,9.359558,9.359558,288.41644,288.4164552390964,152.80237,0.0033552407,-1,86.896614,107.88324,1.2224982
141.68459,331.45743,True,85.61229,,0.4136877,0.14697103,1.0759242,100,56.58885741233826,41955,0.01075924,164.32875,18,49166.223,420.97443,1.1343342,[-0.068  0.113 -0.092  0.009  0.011  0.019  0.002 -0.318  0.     0.  0.    -0.241],585.30316,87.120415,0.022411002,2.2411003,32.39,1800,0.004136877,9.359959,9.359959,299.3893,299.38930368930113,135.06056,0.0014697103,-1,89.7755,123.79837,1.1680566
159.95703,424.55145,True,61.040363,,0.9081575,0.029233493,1.1905398,100,60.39058041572571,45314,0.011905397,193.46771,19,191080.27,495.60968,1.0928336,[-0.091  0.132 -0.1    0.012  0.014  0.024  0.002 -0.332  0.     0.  0.    -0.285],689.0774,63.215862,0.063730374,6.3730373,33.59,1900,0.009081575,9.359632,9.359632,310.91324,310.913243893086,117.44553,0.0002923349,-1,94.30748,104.19003,1.6382602
169.8763,386.28317,True,76.60939,,0.6198803,0.15046756,1.0979956,100,65.54220271110535,48901,0.010979955,174.40866,20,83695.76,456.97134,1.042297,[-0.079  0.125 -0.105  0.003  0.004  0.048  0.    -0.379  0.     0.  0.    -0.326],631.38,75.830894,0.031370994,3.1370993,35.87,2000,0.006198803,9.359823,9.359823,332.07794,332.07792913233243,157.66927,0.0015046756,-1,101.0693,142.66396,1.305323
63.383423,354.97678,True,92.80313,,0.3704295,0.47737324,1.0599694,100,70.48589396476746,52436,0.010599694,183.62646,21,67993.28,752.7224,1.0278934,[-0.071  0.131 -0.113 -0.005 -0.007  0.042  0.002 -0.398  0.     0.  0.    -0.377],936.3489,89.116196,0.034232553,3.4232552,35.35,2100,0.003704295,9.359874,9.359874,327.22617,327.2261609416277,143.5997,0.0047737323,-1,114.85664,46.321503,1.0775498
328.40805,811.3172,True,26.876991,,4.0260987,0.006845164,1.8155049,100,75.70353126525879,56383,0.01815505,211.53015,22,1873847.6,622.98553,0.9226237,[-0.101  0.137 -0.118 -0.009 -0.011  0.045 -0.014 -0.401  0.     0.  0.    -0.391],834.5157,16.898073,0.35257846,35.257847,39.47,2200,0.040260985,9.359678,9.359678,365.42673,365.42670837246885,153.89655,6.845164e-05,-1,121.46151,115.07201,3.7206545
103.31857,445.45178,True,90.31912,,0.37792715,0.4504369,1.0830472,100,81.63316321372986,60752,0.010830471,202.81718,23,126483.24,881.0195,0.89281774,[-0.117  0.148 -0.119 -0.002 -0.004  0.1    0.013 -0.419  0.     0.  0.    -0.496],1083.8367,89.14523,0.032264203,3.2264204,43.69,2300,0.0037792712,9.359994,9.359994,404.67105,404.67105657195793,201.85387,0.0045043686,-1,163.88171,79.52008,1.1071852
