J_sample_variance,ReturnStepMax,MeanEntropy,Iteration,EpLenMean,InitialReturnMin,MinIWNorm,OptimizationReturnMean,OptimizationReturnMin,MaxIW,StdIW,ESSClassic,MeanIW,Bound,MaxIWNorm,EpisodesSoFar,EmpiricalD2,MeanIWNorm,InitialReturnStd,Weights,InitialReturnMean,TimestepsSoFar,MinIW,OptimizationReturnMax,ReturnStepMaxmin,ESSRenyi,InitialReturnMax,LearnableVariance,StdIWNorm,InitialBound,VarianceInit,ReturnMeanIW,EpThisIter,EpRewMean,TimeElapsed
8994.572,9.3581085,1.4437118,1,14.57,62.68601,0.0049664928,70.43932,,2.4926538,0.3544353,89.48192,1.0337999,61.45173,0.024926538,100,1.1075675,0.010337999,40.730286,[-0.  0. -0. -0.  0. -0. -0.  0.  0.  0. -0.  0.],133.12532,1457,0.49664927,196.59842,9.3581085,90.28795,259.28442,True,0.0035443532,55.339996,-1,143.31381,100,133.12533213338068,6.44933819770813
5781329.5,9.3595295,1.2583658,2,15.88,53.849495,3.6603236e-05,91.46478,,98.19395,10.3815365,4.2528205,2.1879492,304.25665,0.98193944,200,6.933003,0.021879489,47.360477,[-0.007 -0.001 -0.007  0.013  0.018 -0.005 -0.022 -0.032  0.     0.  0.     0.025],145.31429,3045,0.0036603236,243.23248,9.3595295,14.423764,297.08197,True,0.10381536,56.189667,-1,538.927,100,145.31428168718006,14.773736476898193
11571.4,9.3590765,1.2575687,3,19.86,62.956577,0.005311877,119.42195,,3.735186,0.41935962,86.18271,1.0473334,68.36201,0.03735186,300,1.0669016,0.010473333,60.136402,[ 0.013  0.015 -0.007  0.009  0.018  0.071  0.004 -0.114  0.     0.  0.    -0.161],182.37854,5031,0.5311877,325.6221,9.3590765,93.72936,388.57867,True,0.004193596,65.80492,-1,188.77196,100,182.37852980886123,23.603724479675293
12722.736,9.359191,1.258438,4,19.99,90.19618,0.0053816186,93.2992,,2.3033183,0.21566175,95.894,1.0422187,67.7432,0.023033181,400,1.0395243,0.010422187,59.623207,[ 0.02   0.026 -0.008 -0.005  0.007  0.093 -0.003 -0.118  0.     0.  0.    -0.161],183.49538,7030,0.5381619,307.21204,9.359191,96.197845,397.4082,True,0.0021566174,64.27291,-1,189.29892,100,183.49537850092236,31.29844045639038
2177974.0,9.359866,1.2470706,5,18.92,71.99166,0.0005945313,101.606834,,159.04803,15.800567,2.7038789,2.6340168,183.43863,1.5904803,500,7.564033,0.026340164,46.407207,[ 0.017  0.035 -0.006  0.004  0.013  0.086  0.013 -0.102  0.     0.  0.    -0.16 ],173.5985,8922,0.05945313,215.21957,9.359866,13.220461,287.21124,True,0.15800567,87.43513,-1,420.4119,100,173.5985093108681,39.413055658340454
54535.598,9.35953,1.253414,6,16.17,72.27603,0.004381144,75.508896,,5.602889,0.6695491,72.96786,1.1000386,35.701096,0.056028888,600,1.2867334,0.011000386,51.7889,[ 0.015  0.08  -0.018  0.05   0.059  0.145  0.019 -0.043  0.     0.  0.    -0.172],147.78493,10539,0.4381144,376.03702,9.35953,77.71618,448.31305,True,0.006695491,13.291016,-1,188.26328,100,147.78493391425837,47.54837656021118
45333856.0,9.359745,1.2547647,7,17.1,63.229443,0.000116302814,93.42417,,818.46436,81.35558,1.2268698,9.067075,760.06726,8.184644,700,39.259956,0.09067073,50.309875,[ 0.03   0.078 -0.019  0.051  0.061  0.179  0.025 -0.075  0.     0.  0.    -0.166],156.65361,12249,0.011630282,250.78856,9.359745,2.5471246,314.018,True,0.8135559,62.448196,-1,1350.3373,100,156.65361178179776,55.387150049209595
164721800000.0,9.359631,1.0681716,8,19.78,72.29849,7.1052448e-12,109.01929,,12175.475,1211.39,1.0095261,122.33367,38535.977,121.754745,800,8122.355,1.2233367,51.320145,[ 0.027  0.079 -0.038  0.057  0.054  0.25  -0.03  -0.189  0.     0.  0.    -0.164],181.3178,14227,7.105245e-10,333.26822,9.359631,0.012311701,405.5667,True,12.1139,59.647774,-1,49501.38,100,181.31778958409916,66.50652146339417
49122.74,9.359637,1.0465276,9,29.72,164.47882,0.0013006183,109.9053,,2.345347,0.4352776,85.967545,1.0773739,130.48157,0.023453468,900,1.1899321,0.010773739,77.15536,[ 0.024  0.079 -0.052  0.023  0.024  0.237  0.001 -0.31   0.     0.  0.    -0.351],274.3841,17199,0.13006184,384.70233,9.359637,84.03841,549.18115,True,0.004352776,109.62976,-1,310.2022,100,274.3841068757331,78.59940338134766
122773.21,9.3598795,0.97680634,10,30.76,135.71698,0.0011248785,148.24791,,6.2248945,1.1145363,55.507984,1.2448897,172.6652,0.062248945,1000,1.5606961,0.012448895,83.665955,[ 0.027  0.073 -0.053  0.004  0.002  0.239 -0.001 -0.326  0.     0.  0.    -0.372],283.96487,20275,0.11248785,429.38446,9.3598795,64.073975,565.10144,True,0.011145363,114.43448,-1,384.45587,100,283.9648929498612,89.74254631996155
