EpLenMean,MeanIW,EpThisIter,EpisodesSoFar,ESSClassic,EpRewMean,MinIW,OptimizationReturnMax,InitialBound,MaxIWNorm,InitialReturnMean,TimeElapsed,TimestepsSoFar,ReturnStepMaxmin,MeanEntropy,InitialReturnMax,VarianceInit,LearnableVariance,Bound,J_sample_variance,InitialReturnMin,ESSRenyi,StdIW,MeanIWNorm,OptimizationReturnMin,EmpiricalD2,ReturnStepMax,Iteration,Weights,OptimizationReturnMean,MinIWNorm,InitialReturnStd,MaxIW,ReturnMeanIW,StdIWNorm
15.17,1.0010457,100,100,97.97353,138.63210696304125,0.6925722,214.14502,52.791763,0.013577972,138.6321,2.3150134086608887,1517,9.359532,1.4190644,286.13446,-1,True,54.7996,7837.968,71.98943,97.45198,0.14396879,0.010010457,,1.0261464,9.359532,1,[ 0.  0.  0.  0.  0. -0.  0.  0. -0. -0. -0.  0.],66.64267,0.0069257217,42.2848,1.3577971,141.7549,0.0014396879
15.35,1.131463,100,200,89.2145,140.3358869970949,0.12759736,214.61996,56.998955,0.021250928,140.33589,5.621597051620483,3052,9.359197,1.3613247,277.7898,-1,True,72.4284,10035.533,63.16983,86.75947,0.39340758,0.011314628,,1.152612,9.359197,2,[-0.013  0.012  0.006 -0.012 -0.008 -0.019 -0.005 -0.006  0.     0.  0.     0.   ],77.16606,0.0012759736,44.05404,2.1250927,161.89874,0.003934076
16.17,1.0300057,100,300,94.25054,148.01145926804998,0.51137906,315.9569,34.255943,0.01857893,148.01146,9.30730390548706,4669,9.35924,1.3552912,379.18503,-1,True,41.69288,10100.59,63.22812,93.18354,0.25439686,0.010300056,,1.0731509,9.35924,3,[-0.01   0.012  0.017 -0.042 -0.04  -0.035  0.011  0.01   0.     0.  0.    -0.058],84.78334,0.0051137907,54.23468,1.857893,159.53561,0.0025439684
15.5,1.1522919,100,400,60.034016,141.7581407242082,0.29013267,270.7424,41.67476,0.08267629,141.75815,12.785531520843506,6219,9.359602,1.3335077,333.61127,-1,True,60.562645,23021.697,62.86886,75.07935,0.9401759,0.011522918,,1.3319241,9.359602,4,[-0.011  0.029  0.014 -0.021 -0.018 -0.019  0.022  0.003  0.     0.  0.    -0.064],78.88928,0.0029013266,47.84524,8.26763,176.06789,0.009401759
16.54,1.2198863,100,500,48.91421,151.42692585876682,0.1872524,195.58122,70.99992,0.10843155,151.42693,16.442749500274658,7873,9.359533,1.3388104,268.08997,-1,True,99.965546,45939.55,72.50874,62.078243,1.246671,0.012198862,,1.6108704,9.359533,5,[-0.021  0.04  -0.003 -0.037 -0.036  0.015 -0.005 -0.048  0.     0.  0.    -0.085],78.91818,0.001872524,46.19364,10.843155,202.04353,0.01246671
17.35,1.147862,100,600,73.75874,159.00945637313416,0.26314944,261.42072,58.905853,0.034826126,159.00946,19.712210416793823,9608,9.359928,1.2644781,333.6787,-1,True,70.92402,18490.76,72.25801,76.5398,0.6846603,0.01147862,,1.3065097,9.359928,6,[-0.008  0.024  0.003 -0.001  0.007  0.058 -0.044 -0.104  0.     0.  0.    -0.08 ],86.75144,0.0026314943,54.744404,3.4826128,185.34511,0.006846603
17.9,1.0713497,100,700,57.36809,164.07321857075058,0.08796203,222.96024,75.45773,0.065211415,164.07323,22.933526754379272,11398,9.359873,1.2862556,295.38495,-1,True,88.77841,36465.24,72.42472,64.89886,0.9235565,0.010713496,,1.5408591,9.359873,7,[-0.023  0.005 -0.     0.036  0.041  0.017 -0.096 -0.126  0.     0.  0.    -0.154],91.648506,0.0008796203,52.194206,6.5211415,198.778,0.009235565
19.34,1.0397869,100,800,89.59319,177.5559967617263,0.39052176,260.4109,75.06886,0.021268003,177.556,25.932615518569946,13332,9.359737,1.301816,341.6238,-1,True,82.97165,14084.109,81.21294,88.75366,0.35437697,0.010397869,,1.1267141,9.359737,8,[-0.04   0.045  0.007  0.026  0.029  0.029 -0.055 -0.13   0.     0.  0.    -0.133],96.343056,0.0039052176,55.4349,2.1268003,191.75845,0.0035437695
19.84,1.0104038,100,900,89.50009,182.07864444694505,0.34413618,250.46841,88.04448,0.019146087,182.07866,29.917901039123535,15316,9.359576,1.2669551,313.44717,-1,True,94.015175,11633.582,62.978752,89.62747,0.3460798,0.010104036,,1.1157293,9.359576,9,[-0.034  0.051  0.002  0.023  0.028  0.028 -0.05  -0.146  0.     0.  0.    -0.117],119.09989,0.0034413617,54.126255,1.9146087,193.34164,0.003460798
21.1,1.0390469,100,1000,84.97572,193.77554546626442,0.27987242,307.93118,77.01574,0.023390008,193.77554,34.75326609611511,17426,9.359534,1.25975,389.19943,-1,True,89.977234,21921.07,81.26824,83.164055,0.43690255,0.010390468,,1.2024425,9.359534,10,[-0.031  0.051  0.012  0.028  0.037  0.021 -0.035 -0.151  0.     0.  0.    -0.152],112.50732,0.0027987242,65.26574,2.339001,218.01134,0.0043690256
23.48,1.0946665,100,1100,85.11209,216.1540489294478,0.27150807,289.52634,99.38658,0.023699516,216.15404,39.78134274482727,19774,9.359733,1.2153454,389.22488,-1,True,110.777954,20636.77,99.69854,84.9886,0.45782876,0.010946664,,1.1766284,9.359733,11,[-0.03   0.048  0.019  0.019  0.034  0.006 -0.034 -0.174  0.     0.  0.    -0.159],116.455505,0.0027150805,66.3571,2.3699517,237.43854,0.0045782877
21.96,3.7392466,100,1200,2.621358,201.95258850048606,0.0024238157,317.93793,84.90681,2.1309013,201.95258,44.74099016189575,21970,9.359171,1.2501831,390.1526,-1,True,492.16766,50077160.0,72.21465,2.2913544,22.790447,0.03739246,,43.64231,9.359171,12,[-0.024  0.063  0.027  0.04   0.056  0.007 -0.014 -0.166  0.     0.  0.    -0.204],129.73795,2.4238156e-05,52.70817,213.09015,1265.3993,0.22790442
