InitialReturnMean,Iteration,EpLenMean,ReturnMeanIW,ReturnStepMaxmin,TimeElapsed,MeanIW,InitialReturnMax,ESSRenyi,OptimizationReturnMin,InitialReturnStd,Bound,VarianceInit,MeanEntropy,InitialReturnMin,EpRewMean,StdIW,ReturnStepMax,ESSClassic,MinIWNorm,OptimizationReturnMax,Weights,MaxIWNorm,EpisodesSoFar,MeanIWNorm,OptimizationReturnMean,MinIW,EpThisIter,LearnableVariance,StdIWNorm,EmpiricalD2,TimestepsSoFar,MaxIW,J_sample_variance,InitialBound
142.15125,1,15.54,199.64522,9.359588,3.5640363693237305,1.2029016,305.4138,55.97129,,51.87502,77.17593,-1,1.4003222,71.9772,142.151256634908,1.8466706,9.359588,29.79047,0.0010922293,233.43658,[ 0.  0.  0. -0.  0.  0.  0.  0. -0. -0.  0.  0.],0.15719979,100,0.0120290145,70.17405,0.109222926,100,True,0.018466705,1.7866303,1554,15.719978,71616.65,50.527115
161.01974,2,17.57,169.99486,9.359487,9.292400121688843,1.0290941,304.36127,94.08812,,50.061554,75.861565,-1,1.3730932,62.92208,161.01973190133455,0.2507625,9.359487,94.39516,0.0046290606,241.43918,[-0.002  0.008 -0.008 -0.01  -0.013  0.04  -0.031 -0.081  0.     0.  0.    -0.019],0.018685944,200,0.010290941,98.09765,0.46290606,100,True,0.002507625,1.0628334,3311,1.8685945,8701.934,69.71136
158.07623,3,17.26,172.24586,9.358621,12.766109228134155,1.0124633,304.578,85.05671,,50.992096,73.17054,-1,1.3605487,72.35719,158.07622223304276,0.4359979,9.358621,84.35664,0.0028916793,232.22081,[ 0.008  0.025  0.004  0.006  0.001  0.07  -0.009 -0.084  0.     0.  0.    -0.046],0.023576593,300,0.010124635,85.71903,0.28916794,100,True,0.0043599787,1.1756862,5037,2.3576593,12636.198,66.70282
177.1531,4,19.31,243.90685,9.358891,17.669013500213623,1.1956898,369.3716,58.994324,,53.477955,99.63565,-1,1.3115844,72.03851,177.15312690051076,0.90480614,9.358891,63.587753,0.0002568581,297.3331,[ 0.004  0.046  0.002 -0.011  0.002  0.069 -0.015 -0.112  0.     0.  0.    -0.058],0.056305494,400,0.011956898,105.11461,0.02568581,100,True,0.009048061,1.6950784,6968,5.6305494,54498.188,66.34163
189.68262,5,20.66,359.9726,9.359234,22.108036518096924,1.6875671,462.9088,39.501064,,60.290142,139.01329,-1,1.2094882,80.89586,189.6826160181827,5.6199307,9.359234,8.271154,0.00031354482,382.01294,[ 0.029  0.04   0.025 -0.034 -0.032  0.064  0.025 -0.13   0.     0.  0.    -0.107],0.56363416,500,0.016875671,108.78675,0.031354483,100,True,0.056199305,2.5315773,9034,56.363415,938350.4,50.809982
182.19127,6,19.86,234.84587,9.358237,26.506881713867188,1.1664155,368.00482,62.01891,,49.874554,94.65727,-1,1.2283285,90.42281,182.1912603650564,1.3369663,9.358237,43.21865,0.0012517987,277.582,[ 0.045  0.059  0.017 -0.061 -0.062  0.129  0.021 -0.127  0.     0.  0.    -0.209],0.09867394,600,0.011664153,91.76844,0.12517987,100,True,0.013369663,1.6124115,11020,9.867394,91451.52,71.78981
196.55806,7,21.39,210.63776,9.359548,31.04139471054077,1.0329982,416.54044,90.97264,,55.400124,79.62216,-1,1.2080036,72.035904,196.55808433176952,0.31288755,9.359548,91.59659,0.002568393,344.50452,[ 0.047  0.066  0.007 -0.059 -0.063  0.165  0.003 -0.166  0.     0.  0.    -0.191],0.017830638,700,0.0103299795,124.52219,0.2568393,100,True,0.0031288755,1.0992316,13159,1.7830639,12869.463,71.59597
210.636,8,22.91,263.70853,9.3594,35.75455284118652,1.0767856,509.824,71.63056,,72.74345,82.99431,-1,1.2393028,72.02432,210.6359971968312,0.85033995,9.3594,61.5904,0.001990377,437.79968,[ 0.058  0.063  0.024 -0.062 -0.067  0.182  0.011 -0.183  0.     0.  0.    -0.211],0.076791316,800,0.010767856,138.61168,0.1990377,100,True,0.008503399,1.3960521,15450,7.679132,129675.586,57.688812
201.31146,9,21.9,218.35193,9.358978,40.84301018714905,1.0846943,380.27014,88.43836,,56.87218,97.04291,-1,1.2691195,81.49176,201.3114647466177,0.4326186,9.358978,86.27587,0.0058807335,298.77838,[ 0.018  0.069 -0.004 -0.071 -0.068  0.142 -0.012 -0.212  0.     0.  0.    -0.18 ],0.026203215,900,0.010846942,119.81971,0.5880734,100,True,0.0043261857,1.130731,17640,2.6203215,14856.736,87.23041
212.99155,10,23.16,254.9784,9.359501,45.32471990585327,1.1226426,488.57556,74.64708,,62.833496,85.33124,-1,1.2349725,117.770966,212.9915429773347,0.73606306,9.359501,69.93595,0.0021725565,370.8046,[ 0.037  0.057  0.008 -0.049 -0.036  0.15  -0.006 -0.209  0.     0.  0.    -0.15 ],0.054868583,1000,0.011226427,95.22059,0.21725565,100,True,0.007360631,1.3396372,19956,5.4868584,40999.473,66.418884
225.65393,11,24.5,238.29445,9.359774,49.66639280319214,1.0456091,408.4124,93.474724,,59.38029,111.56629,-1,1.2081909,108.57243,225.6539420476086,0.24944161,9.359774,94.6153,0.0046893572,299.83997,[ 0.069  0.048  0.023 -0.052 -0.024  0.193  0.002 -0.237  0.     0.  0.    -0.184],0.018098157,1100,0.010456091,117.08151,0.46893576,100,True,0.002494416,1.0698079,22406,1.8098156,18672.766,103.130226
225.0711,12,24.46,252.89923,9.359934,54.13660740852356,1.0671661,464.2074,88.091995,,68.379074,104.522736,-1,1.1739951,108.575645,225.0711053272223,0.39813247,9.359934,87.78207,0.0028078093,355.63174,[ 0.084  0.045  0.026 -0.043 -0.016  0.205 -0.002 -0.243  0.     0.  0.    -0.211],0.023944011,1200,0.010671661,116.49546,0.28078094,100,True,0.003981325,1.1351769,24852,2.394401,27493.06,85.8089
232.7983,13,25.28,250.44847,9.359766,59.16924977302551,1.0559639,533.60547,91.40692,,70.78991,83.01126,-1,1.1406728,81.36812,232.79829446624558,0.2960004,9.359766,92.71491,0.004810334,452.23737,[ 0.09   0.043  0.021 -0.018  0.004  0.204 -0.003 -0.248  0.     0.  0.    -0.245],0.020700088,1300,0.010559637,151.43018,0.4810334,100,True,0.0029600037,1.094009,27380,2.0700088,17785.037,72.716644
244.65393,14,26.56,290.60776,9.359853,64.016517162323,1.1402417,445.39185,80.85318,,58.59116,142.00908,-1,1.1147927,98.95802,244.65392174237815,0.4321631,9.359853,87.43945,0.0022024505,346.43384,[ 0.093  0.044  0.017 -0.026 -0.001  0.214 -0.008 -0.255  0.     0.  0.    -0.278],0.020321816,1400,0.011402416,145.69589,0.22024506,100,True,0.0043216306,1.2368097,30036,2.0321817,25672.781,111.03638
255.28496,15,27.69,285.25732,9.359756,70.94191455841064,1.0671521,620.7645,87.29551,,81.30587,85.93672,-1,1.1095116,117.88582,255.28495683051204,0.3540532,9.359756,90.0841,0.0030699088,502.87872,[ 0.105  0.048  0.019 -0.029 -0.005  0.237  0.012 -0.273  0.     0.  0.    -0.304],0.025035659,1500,0.010671521,137.39914,0.3069909,100,True,0.003540532,1.1455343,32805,2.503566,37169.5,69.05562
256.66144,16,27.82,270.3144,9.359871,75.82399392127991,1.0460793,557.1845,95.11682,,65.601875,98.92197,-1,1.1053421,136.51976,256.6614195663592,0.24676517,9.359871,94.72865,0.0056098937,420.66473,[ 0.102  0.052  0.007 -0.032 -0.013  0.253  0.011 -0.296  0.     0.  0.    -0.309],0.019855278,1600,0.010460793,120.14166,0.5609894,100,True,0.0024676514,1.0513388,35587,1.9855279,27221.395,89.50609
250.90874,17,27.22,269.2278,9.359363,80.93463468551636,1.0408064,536.31494,89.129524,,68.56241,98.80397,-1,1.1039859,108.32503,250.9087372709959,0.4269335,9.359363,85.59739,0.0032540213,427.98993,[ 0.11   0.059  0.009 -0.036 -0.02   0.272  0.042 -0.284  0.     0.  0.    -0.314],0.030385718,1700,0.010408064,142.58371,0.32540214,100,True,0.004269335,1.1219627,38309,3.0385718,31036.365,90.01427
259.74692,18,28.16,299.5384,9.359456,86.8783860206604,1.0611976,572.7084,81.30924,,78.56113,108.99898,-1,1.0767834,126.58556,259.74690196844546,0.5039502,9.359456,81.59809,0.0010724581,446.1228,[ 9.093e-02  5.669e-02 -1.051e-04 -4.255e-02 -2.531e-02  2.563e-01  4.296e-02 -2.867e-01  0.000e+00  0.000e+00  0.000e+00 -3.150e-01],0.032685056,1800,0.010611977,133.16135,0.10724582,100,True,0.0050395015,1.2298725,41125,3.2685056,53454.1,87.93439
281.55994,19,30.5,365.68054,9.359748,92.46996212005615,1.2125891,519.00244,61.144196,,81.15452,166.56139,-1,1.0464325,163.30008,281.55994190547904,0.8856564,9.359748,65.21193,0.0010673242,355.70236,[ 0.11   0.058  0.008 -0.039 -0.015  0.298  0.067 -0.305  0.     0.  0.    -0.342],0.043152183,1900,0.012125892,118.25987,0.10673242,100,True,0.008856564,1.6354783,44175,4.3152184,83738.41,125.85921
289.59525,20,31.34,398.56326,9.359993,98.03167939186096,1.2524472,535.9719,56.89258,,76.95855,185.38864,-1,1.0111082,165.10994,289.5952552224288,1.9768839,9.359993,28.641808,0.00025514184,370.862,[ 0.12   0.06   0.01  -0.012  0.014  0.31   0.078 -0.333  0.     0.  0.    -0.373],0.1895436,2000,0.012524473,124.48532,0.025514185,100,True,0.01976884,1.7576985,47309,18.954361,263373.06,128.80365
304.11935,21,32.91,1030.677,9.35984,104.11931133270264,3.650028,519.79175,6.1727486,,78.597786,403.03595,-1,1.0092614,174.42064,304.1193607466832,19.718084,9.35984,3.3130713,4.852948e-05,345.3711,[ 0.117  0.068  0.004 -0.025 -0.002  0.349  0.07  -0.37   0.     0.  0.    -0.408],1.5848991,2100,0.03650028,129.69873,0.0048529482,100,True,0.19718081,16.20024,50600,158.48991,5870661.0,148.18181
269.114,22,29.17,328.1458,9.359632,109.29126691818237,1.1876979,499.67572,71.42818,,65.10727,150.77805,-1,0.9611047,172.98724,269.11400319554787,0.75575125,9.359632,71.17954,0.00040573275,326.68848,[ 1.214e-01  5.353e-02  1.224e-02 -2.264e-02  3.788e-04  3.313e-01  4.170e-02 -3.071e-01  0.000e+00  0.000e+00  0.000e+00 -4.097e-01],0.050535295,2200,0.011876978,96.126755,0.040573277,100,True,0.0075575127,1.4000077,53517,5.0535297,62100.05,119.21127
278.29993,23,30.16,319.06076,9.359933,114.033362865448,1.0911973,489.62305,78.78017,,68.27175,153.56966,-1,0.95269907,182.44113,278.2999301945041,0.55730724,9.359933,79.31189,0.0014569671,307.18192,[ 0.109  0.042 -0.005 -0.015 -0.003  0.308 -0.009 -0.349  0.     0.  0.    -0.458],0.037225775,2300,0.010911971,95.85881,0.14569671,100,True,0.005573072,1.269355,56533,3.7225778,63921.277,131.41302
279.02432,24,30.21,313.29187,9.359827,119.25852131843567,1.0973207,453.9169,87.81005,,62.583874,167.97183,-1,0.92490935,192.81476,279.0243314059368,0.41094828,9.359827,87.69995,0.0026254016,261.10214,[ 0.11   0.038 -0.006 -0.002  0.007  0.297 -0.004 -0.357  0.     0.  0.    -0.466],0.032971907,2400,0.010973206,86.20958,0.26254016,100,True,0.0041094827,1.1388218,59554,3.2971907,57944.344,142.84929
