EpLenMean,TimeElapsed,InitialReturnMean,MinIWNorm,EmpiricalD2,Weights,OptimizationReturnMax,StdIW,VarianceInit,MaxIWNorm,ESSClassic,InitialReturnMax,MeanIWNorm,ReturnMeanIW,EpRewMean,Iteration,ESSRenyi,StdIWNorm,MeanIW,J_sample_variance,OptimizationReturnMean,InitialReturnStd,InitialBound,MaxIW,MeanEntropy,EpisodesSoFar,OptimizationReturnMin,TimestepsSoFar,ReturnStepMax,InitialReturnMin,Bound,LearnableVariance,MinIW,ReturnStepMaxmin,EpThisIter
14.12,3.6034021377563477,128.94139,0.0011157058,1.3661996,[-0.  0. -0.  0. -0. -0.  0.  0.  0.  0. -0.  0.],186.36482,0.8849215,-1,0.06363582,62.040974,249.21913,0.011313226,158.60112,128.94138179754972,1,73.19575,0.008849214,1.1313227,16855.229,66.08707,39.64086,54.175644,6.3635817,1.3559685,100,,1412,9.35862,62.854305,71.21153,True,0.11157058,9.35862,100
16.85,8.821966886520386,154.29686,0.0021500837,1.179354,[-0.005  0.001 -0.01  -0.029 -0.019  0.016 -0.026 -0.052  0.     0.  0.    -0.063],278.02008,0.42258596,-1,0.021884957,86.07703,341.25568,0.010507337,175.04933,154.29685626245552,2,84.79218,0.0042258594,1.0507338,15004.345,91.06127,51.926792,51.92015,2.1884959,1.3082917,200,,3097,9.359931,63.23559,63.870216,True,0.21500836,9.359931,100
17.81,12.579874277114868,163.26143,0.0033637788,1.3486497,[-7.458e-05 -3.393e-03 -6.629e-03 -3.900e-02 -3.068e-02  1.763e-02 -2.443e-02 -7.282e-02  0.000e+00  0.000e+00  0.000e+00 -1.106e-01],307.49905,0.74431676,-1,0.041709423,69.77426,370.4428,0.0113088135,202.5798,163.26144015156407,3,74.14824,0.007443168,1.1308814,29628.023,100.31767,58.739517,52.12861,4.1709423,1.3349011,300,,4878,9.3593855,62.943752,73.5197,True,0.3363779,9.3593855,100
18.17,16.093513250350952,166.49898,0.0015107043,1.3075758,[ 0.019 -0.004 -0.011 -0.029 -0.028  0.047 -0.023 -0.108  0.     0.  0.    -0.084],270.42685,0.68574744,-1,0.041607797,71.08979,342.51166,0.0107533075,193.08002,166.49897876074465,4,76.4774,0.006857474,1.0753309,20839.094,94.41418,53.73159,63.745483,4.16078,1.2805167,400,,6695,9.359562,72.0848,75.58214,True,0.15107043,9.359562,100
19.95,20.55362558364868,183.15318,0.0009645563,2.7670906,[ 0.021 -0.005 -0.011 -0.011 -0.008  0.055 -0.024 -0.135  0.     0.  0.    -0.138],269.8453,3.1178424,-1,0.24060489,19.39042,351.0266,0.015291654,308.22333,183.15319345358546,5,36.13904,0.031178422,1.5291654,230429.78,101.971886,56.16303,77.84522,24.06049,1.323474,500,,8690,9.359945,81.181305,133.04799,True,0.09645563,9.359945,100
22.79,25.776493310928345,209.53143,0.0013404225,1.1670934,[ 0.015  0.005 -0.028 -0.01  -0.013  0.105 -0.038 -0.193  0.     0.  0.    -0.095],316.84677,0.39735684,-1,0.027536657,87.60982,389.30945,0.01056618,232.82355,209.53140725804693,6,85.682945,0.0039735683,1.0566181,18361.797,137.06873,60.11864,92.73856,2.7536657,1.2944949,600,,10969,9.35961,72.46268,106.649796,True,0.13404226,9.35961,100
21.14,29.81992268562317,194.25824,0.00038170666,2.4991639,[ 0.019 -0.001 -0.034 -0.008 -0.017  0.078 -0.041 -0.21   0.     0.  0.    -0.124],277.629,4.263986,-1,0.43196386,10.120907,349.63184,0.014308564,333.3027,194.25824572259526,7,40.013382,0.042639855,1.4308566,1432384.8,122.25541,57.778057,89.36871,43.19639,1.3421745,700,,13083,9.35988,72.00284,167.4855,True,0.038170666,9.35988,100
21.51,34.59798741340637,197.52873,0.0020517579,1.4050761,[ 0.046  0.006 -0.042 -0.041 -0.049  0.134 -0.055 -0.219  0.     0.  0.    -0.077],277.8494,0.6165409,-1,0.03817501,76.40301,368.28516,0.011094017,244.21881,197.52871351461255,8,71.17052,0.006165409,1.1094018,38401.21,107.09295,62.140762,87.04316,3.817501,1.3235347,800,,15234,9.358059,90.43576,113.25377,True,0.20517579,9.358059,100
23.43,40.63213062286377,215.41255,0.0016710516,1.4223896,[ 0.051  0.001 -0.041 -0.026 -0.027  0.142 -0.06  -0.257  0.     0.  0.    -0.095],320.10928,0.90602475,-1,0.06969726,59.40849,382.95087,0.010960911,255.45985,215.4125380197282,9,70.30422,0.009060247,1.0960913,54703.363,152.57095,64.61354,100.52728,6.9697266,1.3079984,900,,17577,9.359846,62.84159,118.44313,True,0.16710517,9.359846,100
24.78,45.19629454612732,227.84251,0.002336156,1.3733193,[ 0.04  -0.004 -0.044 -0.02  -0.028  0.154 -0.082 -0.307  0.     0.  0.    -0.111],353.83362,0.68453956,-1,0.033085976,75.27216,481.0904,0.011943256,292.30975,227.84251087120813,10,72.81628,0.006845395,1.1943256,45138.586,100.58573,58.880943,83.515396,3.3085976,1.2515107,1000,,20055,9.359769,127.256775,123.17467,True,0.2336156,9.359769,100
25.68,50.81479859352112,236.41649,0.0037094404,1.1204656,[ 0.043 -0.008 -0.048 -0.036 -0.041  0.145 -0.083 -0.332  0.     0.  0.    -0.167],337.67358,0.41346812,-1,0.024461875,86.60565,455.00415,0.0105136745,250.03252,236.41647554686477,11,89.24861,0.004134681,1.0513673,25877.904,119.08589,64.11442,99.91524,2.4461875,1.2551309,1100,,22623,9.359757,117.33058,105.54315,True,0.37094405,9.359757,100
