VarRet,AvgVanillaIw,MinNormIw,Delta,VarVanillaIw,J,AvgRet,VarDiscRet,IterType,VarJ,AvgDiscRet,Bound,AvgNormIw,MaxVanillaIw,ESSClassic,ESSRenyi,AvgEpLen,MinVanillaIw,EpsThisIter,eRenyi2,VanillaAvgRet,BatchSize,MaxNormIw,VarNormIw
8281.59909067,1.00082,1.87118e-06,0.7,0.388483,-75.5526,-88.7450408138,8281.59909067,1,65.0363,-88.7450408138,-107.527,0.01,2.35522,72.2561552468,72.9435991544,121.71,0.000187273,100,1.37092,-88.7450408138,100,0.0235328,3.87844e-05
4972.2207266,1.01263,0.00344643,0.7,0.0914967,-77.0963,-80.1725291027,4972.2207266,1,56.051,-80.1725291027,-105.729,0.01,2.03096,91.8833232911,90.9559692468,111.79,0.348994,100,1.09943,-80.1725291027,100,0.0200564,8.92291e-06
2591.70567688,0.993006,0.000936687,0.7,0.195868,-66.728,-71.0262299007,2591.70567688,1,25.5012,-71.0262299007,-96.3697,0.01,1.78159,83.5665874598,84.8726309752,100.98,0.0930136,100,1.17824,-71.0262299007,100,0.0179414,1.98637e-05
6058.91351361,0.92772,0.000233625,0.7,0.267635,-73.2616,-83.1693232791,6058.91351361,1,57.2353,-83.1693232791,-104.003,0.01,1.83113,76.4611888318,78.9013380558,115.57,0.0216738,100,1.26741,-83.1693232791,100,0.0197379,3.10963e-05
3781.7295036,0.980323,0.00111267,0.7,0.189639,-70.6308,-76.1929552396,3781.7295036,1,36.4167,-76.1929552396,-100.686,0.01,2.24887,83.6571648085,82.5523315112,106.42,0.109077,100,1.21135,-76.1929552396,100,0.02294,1.97328e-05
8202.49929702,1.05758,0.00210146,0.7,0.334635,-83.4799,-91.4690388192,8202.49929702,1,71.0901,-91.4690388192,-114.265,0.01,3.31321,77.1486604043,78.6866178003,125.51,0.222245,100,1.27086,-91.4690388192,100,0.0313283,2.99191e-05
4969.66567861,1.02296,0.00786486,0.7,0.0817127,-77.7391,-79.9972126427,4969.66567861,1,57.6407,-79.9972126427,-105.905,0.01,3.05966,92.8242591316,94.0010856182,111.69,0.804546,100,1.06382,-79.9972126427,100,0.0299098,7.80855e-06
7181.45014097,0.963317,8.32512e-05,0.7,0.240645,-79.2706,-86.0210284959,7181.45014097,1,69.6961,-86.0210284959,-109.855,0.01,2.43434,79.5716574315,79.7231446657,118.3,0.00801973,100,1.25434,-86.0210284959,100,0.0252704,2.59322e-05
6098.33507013,1.02097,0.00690225,0.7,0.0950734,-80.7559,-84.1268264061,6098.33507013,1,65.8258,-84.1268264061,-109.447,0.01,2.00613,91.7182423591,90.5937108244,115.98,0.7047,100,1.10383,-84.1268264061,100,0.0196492,9.1208e-06
8275.76132015,1.00398,0.0026761,0.7,0.0946216,-87.1775,-90.2188097677,8275.76132015,1,82.5374,-90.2188097677,-116.09,0.01,2.1024,91.4968024678,89.2068682609,122.69,0.268674,100,1.12099,-90.2188097677,100,0.0209407,9.38733e-06
2609.04629893,0.98218,0.00467131,0.7,0.0636958,-72.4091,-74.2257994862,2609.04629893,1,39.043,-74.2257994862,-100.698,0.01,1.52906,93.8643145593,93.1753244128,105.22,0.458807,100,1.07325,-74.2257994862,100,0.015568,6.60281e-06
6037.40989548,0.927592,0.000806737,0.7,0.263568,-75.1878,-82.6851916707,6037.40989548,1,56.4204,-82.6851916707,-105.773,0.01,2.06625,76.7307232526,79.7184701283,114.42,0.0748323,100,1.25441,-82.6851916707,100,0.0222755,3.06322e-05
4969.70460573,1.00558,0.00603512,0.7,0.0199204,-78.8435,-79.4022543865,4969.70460573,1,67.457,-79.4022543865,-106.412,0.01,1.26349,98.0870353324,98.1205681972,110.69,0.606881,100,1.01915,-79.4022543865,100,0.0125648,1.96999e-06
7211.26384788,0.960759,0.0083444,0.7,0.0457206,-84.2662,-86.192189585,7211.26384788,1,78.2732,-86.192189585,-112.452,0.01,2.14643,95.3255659919,93.8727094168,118.27,0.801696,100,1.06527,-86.192189585,100,0.022341,4.95317e-06
7181.38636225,1.08847,4.75247e-08,0.7,0.774871,-72.2695,-86.2617034809,7181.38636225,1,44.4585,-86.2617034809,-109.013,0.01,3.10027,60.6986170948,55.2359205527,118.68,5.17293e-06,100,1.81042,-86.2617034809,100,0.0284828,6.54024e-05
6068.49744756,1.01666,6.46802e-06,0.7,0.462882,-68.94,-84.2504268152,6068.49744756,1,25.4417,-84.2504268152,-101.451,0.01,2.13537,69.2829072693,70.5522305185,116.51,0.000657578,100,1.41739,-84.2504268152,100,0.0210038,4.47836e-05
3815.15994374,1.01806,0.00490085,0.7,0.077311,-71.5503,-73.8139280696,3815.15994374,1,53.8624,-73.8139280696,-99.7672,0.01,2.56318,93.1231630655,93.6645776037,103.76,0.498934,100,1.06764,-73.8139280696,100,0.0251772,7.45931e-06
4900.09809322,1.03179,0.00718513,0.7,0.185772,-76.0587,-79.6484811215,4900.09809322,1,56.1216,-79.6484811215,-104.848,0.01,3.99248,85.2693658403,89.9762000811,111.57,0.741358,100,1.11141,-79.6484811215,100,0.0386945,1.74499e-05
7172.26923446,1.01884,0.00687014,0.7,0.05748,-84.4924,-86.9821450233,7172.26923446,1,76.994,-86.9821450233,-112.875,0.01,2.06459,94.8028660056,92.5714377781,119.32,0.699957,100,1.08025,-86.9821450233,100,0.0202641,5.5374e-06
