MaxVanillaIw,MaxNormIw,Bound,Delta,EpsThisIter,VarDiscRet,eRenyi2,AvgRet,IterType,MinNormIw,VarJ,AvgVanillaIw,ESSClassic,AvgDiscRet,VarVanillaIw,VanillaAvgRet,MinVanillaIw,AvgNormIw,BatchSize,VarNormIw,ESSRenyi,AvgEpLen,J,VarRet
3.33037,0.0332133,-126.133,0.9,100,1735.98398748,1.45454,-119.975974872,1,0.000112028,11.1137,1.00272,66.355462982,-119.975974872,0.514947,-119.975974872,0.0112333,0.01,100,5.12157e-05,68.7504430796,46.09,-111.144,1735.98398748
2.65596,0.0240649,-129.275,0.9,100,2923.01049281,1.3866,-117.823270494,1,0.000183882,12.4869,1.10366,75.8910148318,-117.823270494,0.390866,-117.823270494,0.0202944,0.01,100,3.20888e-05,72.1186897496,28.28,-109.744,2923.01049281
1.59019,0.0154624,-118.63,0.9,100,377.401546819,1.13603,-110.316385512,1,0.000595149,4.29761,1.02842,88.5575519206,-110.316385512,0.138039,-110.316385512,0.0612065,0.01,100,1.30515e-05,88.0258475861,19.19,-108.156,377.401546819
1.49263,0.0147295,-112.107,0.9,100,11.7470705349,1.09079,-108.194400813,1,0.00200087,2.90577,1.01336,91.995352703,-108.194400813,0.0902546,-108.194400813,0.20276,0.01,100,8.78904e-06,91.6768221879,17.07,-107.776,11.7470705349
1.42047,0.0145066,-111.779,0.9,100,10.1986191833,1.04141,-107.769726215,1,0.00566645,2.91119,0.979191,96.1153230796,-107.769726215,0.0391439,-107.769726215,0.554854,0.01,100,4.08253e-06,96.0239708277,16.64,-107.594,10.1986191833
2.0025,0.0193162,-111.114,0.9,100,6.42154843362,1.03473,-107.305062686,1,0.00528277,2.45553,1.03669,94.2092738825,-107.305062686,0.0667275,-107.305062686,0.54766,0.01,100,6.20877e-06,96.6436618888,16.02,-107.168,6.42154843362
1.68162,0.0167103,-111.301,0.9,100,7.84017847429,1.08575,-107.532451154,1,0.00219337,2.35396,1.00634,91.6212639644,-107.532451154,0.0935483,-107.532451154,0.220727,0.01,100,9.23736e-06,92.1022146298,15.99,-107.174,7.84017847429
2.32127,0.0232149,-111.447,0.9,100,7.69794573355,1.045,-107.629734773,1,0.00507751,2.67047,0.999909,94.7947038929,-107.629734773,0.0554561,-107.629734773,0.507705,0.01,100,5.54662e-06,95.6934890936,15.68,-107.466,7.69794573355
1.42193,0.0142432,-110.886,0.9,100,7.35521243405,1.07128,-107.167600575,1,0.00192825,2.42873,0.998322,91.981492508,-107.167600575,0.0877605,-107.167600575,0.192502,0.01,100,8.80558e-06,93.3466199077,16.12,-106.881,7.35521243405
1.50152,0.0149208,-111.904,0.9,100,12.0128743199,1.04513,-107.63698753,1,0.00365247,2.69046,1.00632,96.1233409286,-107.63698753,0.0412546,-107.63698753,0.367556,0.01,100,4.07378e-06,95.6818974029,17.3,-107.424,12.0128743199
1.2754,0.012637,-110.242,0.9,100,4.71053099875,1.01183,-106.463859553,1,0.00742884,2.24809,1.00926,98.9362164191,-106.463859553,0.0110629,-106.463859553,0.749764,0.01,100,1.08608e-06,98.8307990435,15.71,-106.422,4.71053099875
1.33357,0.0134413,-110.651,0.9,100,4.37510342931,1.02861,-106.920525889,1,0.00554789,1.99408,0.992145,97.3303968814,-106.920525889,0.0272718,-106.920525889,0.550431,0.01,100,2.77054e-06,97.2184083644,15.67,-106.811,4.37510342931
1.35297,0.0131637,-110.721,0.9,100,5.37287202278,1.02824,-106.989654997,1,0.0045239,2.18577,1.02781,97.9817339042,-106.989654997,0.0219796,-106.989654997,0.464969,0.01,100,2.08063e-06,97.2533372473,15.44,-106.896,5.37287202278
3.08217,0.0294327,-110.724,0.9,100,5.69803576152,1.05467,-107.015919787,1,0.00539315,2.33085,1.04719,91.6424142811,-107.015919787,0.101019,-107.015919787,0.564767,0.01,100,9.2119e-06,94.8168081695,15.64,-106.808,5.69803576152
1.30494,0.0129772,-110.398,0.9,100,6.41969240664,1.02489,-106.548692887,1,0.0062604,2.35291,1.00556,97.6235105374,-106.548692887,0.0248638,-106.548692887,0.629523,0.01,100,2.45894e-06,97.5712702514,17.41,-106.445,6.41969240664
1.32185,0.0130531,-110.508,0.9,100,4.51948717486,1.03961,-106.787127102,1,0.00378919,1.87878,1.01267,96.2038051422,-106.787127102,0.0408753,-106.787127102,0.383721,0.01,100,3.98586e-06,96.1895618039,16.13,-106.632,4.51948717486
1.47548,0.0145805,-110.206,0.9,100,3.91354349204,1.01831,-106.481002153,1,0.00707737,1.92091,1.01195,98.1348082251,-106.481002153,0.0196603,-106.481002153,0.716196,0.01,100,1.91986e-06,98.2014906861,15.61,-106.414,3.91354349204
1.36589,0.0135596,-110.306,0.9,100,3.78187379922,1.02952,-106.618275283,1,0.00351767,2.02818,1.00732,96.9910077885,-106.618275283,0.031797,-106.618275283,0.354342,0.01,100,3.13365e-06,97.1327985164,17.26,-106.507,3.78187379922
3.4268,0.0338998,-110.232,0.9,100,3.80102338167,1.05405,-106.571574591,1,0.00225155,1.87784,1.01086,88.4155624445,-106.571574591,0.135237,-106.571574591,0.227601,0.01,100,1.32346e-05,94.8723342557,15.87,-106.369,3.80102338167
4.2794,0.0443053,-110.331,0.9,100,7.28613246795,1.20872,-106.771381715,1,0.000619426,5.36819,0.965888,74.3160066451,-106.771381715,0.325686,-106.771381715,0.0598296,0.01,100,3.49096e-05,82.7324014811,15.81,-106.077,7.28613246795
9.29492,0.0873106,-109.999,0.9,100,5.80615396168,1.33986,-106.484137159,1,0.00348705,8.56481,1.06458,54.9081390453,-106.484137159,0.940121,-106.484137159,0.371225,0.01,100,8.29519e-05,74.6346454929,17.23,-105.625,5.80615396168
48.538,0.309638,-106.148,0.9,100,23.142206167,6.69625,-105.784047302,1,1.03577e-10,59.932,1.56757,8.62561950907,-105.784047302,26.2939,-105.784047302,1.62365e-08,0.01,100,0.00107004,14.9337295244,20.78,-96.1094,23.142206167
2.0178,0.0197075,-109.858,0.9,100,29.6068405487,1.20992,-105.728249239,1,0.000976267,7.31138,1.02387,83.8463061214,-105.728249239,0.204007,-105.728249239,0.0999573,0.01,100,1.94604e-05,82.6503823978,28.48,-104.968,29.6068405487
1.70309,0.0167198,-121.598,0.9,100,1394.86735186,1.08695,-108.720238978,1,0.000938004,6.93076,1.01861,92.6848872393,-108.720238978,0.0827162,-108.720238978,0.0955458,0.01,100,7.97218e-06,92.0007383215,35.41,-105.114,1394.86735186
4.09141,0.0374931,-108.894,0.9,100,20.9882133526,1.67736,-105.784322283,1,3.35299e-06,7.44576,1.09124,52.450903236,-105.784322283,1.09042,-105.784322283,0.000365892,0.01,100,9.15701e-05,59.617623449,30.95,-103.772,20.9882133526
50.4148,0.363354,-92.7795,0.9,100,80.8153826601,6.71306,-104.51592528,1,5.17761e-10,138.185,1.38748,6.78938806741,-104.51592528,26.6965,-104.51592528,7.18384e-08,0.01,100,0.00138675,14.8963366121,43.8,-81.3469,80.8153826601
1.39201e+07,0.999896,-inf,0.9,100,2265.04045201,nan,-104.51592528,,1.4248e-09,0.0148145,139216.0,1.00020906064,-105.994381403,1.9377e+12,-104.51592528,0.0198355,0.01,200,0.00999789,nan,43.8,-108.623,80.8153826601
95.2366,0.341018,-92.5477,0.9,100,55.194995061,13.6479,-104.119806003,1,2.09206e-13,181.726,1.39636,7.60339356071,-104.119806003,49.5862,-104.119806003,5.84253e-11,0.005,200,0.00063578,14.6543135867,37.92,-81.0212,55.194995061
1.0,0.01,-108.893,0.9,100,3003.69444789,1.0,-97.9444002385,2,0.01,54.5313,1.0,100.0,-97.9444002385,,-97.9444002385,1.0,0.01,200,3.50449e-18,200.0,114.31,-97.9444,3003.69444789
1.71159e+10,0.999994,-173.995,0.9,100,1225.16068658,72.0632,-104.119806003,,6.13472e-13,0.000789383,8.55799e+07,1.00001208519,-105.60528736,1.46477e+18,-104.119806003,0.0105002,0.005,300,0.00499994,4.16301235683,37.92,-108.275,55.194995061
218.998,0.471424,-87.8089,0.9,100,79.3275915523,27.7614,-103.457421557,1,,250.081,1.54849,4.24651474626,-103.457421557,167.558,-103.457421557,,0.00333333,300,0.000776435,10.8063565009,41.08,-73.9319,79.3275915523
1.0,0.01,-112.901,0.9,100,1786.63580162,1.0,-100.561215998,2,0.01,42.0567,1.0,100.0,-100.561215998,,-100.561215998,1.0,0.01,300,3.50449e-18,300.0,105.97,-100.561,1786.63580162
1.0,0.005,-110.948,0.9,100,198.743450416,1.0,-103.883394263,2,0.005,31.393,1.0,200.000000102,-103.883394263,,-103.883394263,1.0,0.005,300,2.1793e-19,300.0,71.24,-102.222,198.743450416
inf,nan,nan,0.9,100,811.066335247,3.5539e+06,-103.457421557,,nan,nan,inf,nan,-102.641751047,nan,-103.457421557,0.00456624,nan,400,nan,0.000112552296369,41.08,nan,79.3275915523
276.352,0.471785,-86.7927,0.9,100,47.250583729,36.3845,-104.092567865,1,,279.994,1.4644,4.23502819654,-104.092567865,200.903,-104.092567865,,0.0025,400,0.000585529,10.9937020142,36.25,-73.0344,47.250583729
1.0,0.01,-109.384,0.9,100,524.781165443,1.0,-102.844129312,2,0.01,22.7933,1.0,100.0,-102.844129312,,-102.844129312,1.0,0.01,400,3.50449e-18,400.0,88.7,-102.844,524.781165443
1.0,0.005,-108.018,0.9,100,681.283850379,1.0,-100.754602009,2,0.005,24.456,1.0,200.000000102,-100.754602009,,-100.754602009,1.0,0.005,400,2.1793e-19,400.0,75.7,-101.799,681.283850379
1.0,0.00333333,-110.969,0.9,100,3213.25591894,1.0,-106.64979477,2,0.00333333,38.2666,1.0,299.999969474,-106.64979477,,-106.64979477,1.0,0.00333333,400,5.43914e-20,400.0,102.55,-103.416,3213.25591894
inf,nan,nan,0.9,100,453.68779918,2.6525e+06,-104.092567865,,nan,nan,inf,nan,-99.9282659396,nan,-104.092567865,0.00361857,nan,500,nan,0.00018850166249,36.25,nan,47.250583729
794.91,0.817945,-73.2074,0.9,100,61.0993501282,92.7845,-102.838546238,1,,182.375,1.94368,1.48836214245,-102.838546238,1267.9,-102.838546238,,0.002,500,0.00134244,5.38882844291,38.99,-53.5562,61.0993501282
1.0,0.01,-116.03,0.9,100,921.731955058,1.0,-104.337297251,2,0.01,30.2079,1.0,100.0,-104.337297251,,-104.337297251,1.0,0.01,500,3.50449e-18,500.0,81.76,-104.337,921.731955058
1.0,0.005,-110.547,0.9,100,1049.95560637,1.0,-100.219730245,2,0.005,31.3085,1.0,200.000000102,-100.219730245,,-100.219730245,1.0,0.005,500,2.1793e-19,500.0,88.82,-102.279,1049.95560637
1.0,0.00333333,-107.9,0.9,100,233.813668491,1.0,-98.8919135838,2,0.00333333,27.0775,1.0,299.999969474,-98.8919135838,,-98.8919135838,1.0,0.00333333,500,5.43914e-20,500.0,64.82,-101.15,233.813668491
1.0,0.0025,-107.754,0.9,100,917.350570629,1.0,-104.180389354,2,0.0025,27.9045,1.0,400.0,-104.180389354,,-104.180389354,1.0,0.0025,500,5.4346e-20,500.0,74.62,-101.907,917.350570629
