MinNormIw,VarJ,MaxVanillaIw,VarVanillaIw,AvgRet,AvgNormIw,AvgEpLen,VanillaAvgRet,eRenyi2,AvgDiscRet,Bound,ESSRenyi,AvgVanillaIw,VarRet,BatchSize,MaxNormIw,J,VarDiscRet,ESSClassic,VarNormIw,MinVanillaIw
,1139.4044,93.678734,89.39632,113.74060863682195,0.01,12.38,113.74060863682195,32.527477,-1.8900436771218666e-14,226.66766,3.074323876614702,1.1497874,14662.916015941015,100,0.81474835,541.572,14662.916015941015,1.4717736853724976,0.006762145,
,3437.5886,82.01924,67.21593,366.98674262894144,0.01,37.7,366.98674262894144,33.677902,1.1368683772161603e-15,2020.8047,2.9693060850929833,0.8894577,371655.24085488403,100,0.92212635,4283.596,371655.24085488403,1.1749256222994793,0.008496141,
,4479.17,99.095505,98.163994,560.232159136645,0.010000002,57.02,560.232159136645,44.553925,-1.9326762412674726e-14,1479.7839,2.2444711882587196,1.1089884,541145.8205356391,100,0.8935666,3973.9148,541145.8205356391,1.2496975502911998,0.007981754,
5.58473e-40,979.12665,50.826683,31.205687,1739.4466409726301,0.009999997,174.82,1739.4466409726301,9.908556,2.4556356947869064e-13,2201.588,10.092287933424409,1.3133893,2669510.6658917265,100,0.38698873,3065.3872,2669510.6658917265,5.288364905805304,0.0018090344,7.334937e-38
8.628962e-06,139.55705,2.640685,0.6840467,4495.0632343474645,0.01,449.73,4495.0632343474645,1.6452448,2.7284841053187846e-14,44.928345,60.78122706287242,1.0200508,1368676.6640920679,100,0.02588778,464.38327,1368676.6640920679,60.57505363701176,6.574188e-05,0.000880198
0.0012285727,103.58458,1.6595758,0.1597613,4881.109666601682,0.01,488.18,4881.109666601682,1.1365658,-8.185452315956354e-14,-317.98212,87.98434688576552,0.99907786,452103.5788343418,100,0.016611077,101.1487,452103.5788343418,86.3218102690767,1.6005637e-05,0.12274398
0.0006326776,114.82909,1.4394335,0.08544658,4918.629357004577,0.01,491.92,4918.629357004577,1.0808533,-2.7284841053187846e-13,-292.60553,92.51948994441844,1.0056787,289711.30767044006,100,0.014313055,66.94304,289711.30767044006,92.2816109371383,8.448432e-06,0.063627034
0.0007331891,80.38753,1.4774746,0.10918739,4886.060925585866,0.01,488.66,4886.060925585866,1.1122844,-3.092281986027956e-13,-314.00815,89.90506207693934,0.98766905,438718.04960054805,100,0.014959207,100.174774,438718.049600548,90.02427949493621,1.1193079e-05,0.07241482
0.00023678258,0.13582234,2.6615725,0.3855977,4999.812818013936,0.010000002,500.0,4999.812818013936,1.3842962,1.127773430198431e-12,-0.079332516,72.23887599357855,0.9721751,0.06693518422711554,100,0.0273775,0.06475657,0.06693518422711554,71.22981812960668,4.079861e-05,0.023019414
4.4555372e-13,0.202919,22.477558,5.750518,4999.863247541296,0.01,500.0,4999.863247541296,2.8224652,-1.8189894035458566e-13,-0.013098396,35.43002077075912,1.044368,0.020004557348848994,100,0.2152264,0.055571347,0.020004557348849,16.078273621840513,0.0005272295,4.653221e-11
,0.22878699,16.661514,3.9880683,4999.854943248041,0.01,500.0,4999.854943248041,1.0000201,1.3642420526593923e-13,0.041812833,99.99798540359339,0.45845553,0.02658970212692827,100,0.36342704,0.101319894,0.02658970212692827,5.054420748739477,0.0018974405,
7.323558e-05,51.025658,1.824072,0.31054187,4781.048312123012,0.01,478.22,4781.048312123012,1.2708972,-4.5474735088646414e-14,-71.67323,78.68457333221525,0.98755836,519333.4625900898,100,0.018470524,206.42986,519333.4625900898,76.03222830722636,3.1841584e-05,0.0072324406
