IterType,ESSRenyi,VarNormIw,VarDiscRet,J,VarVanillaIw,VarRet,BatchSize,MaxVanillaIw,MinVanillaIw,Bound,AvgDiscRet,ESSClassic,VarJ,MinNormIw,AvgNormIw,EpsThisIter,eRenyi2,VanillaAvgRet,AvgRet,AvgEpLen,AvgVanillaIw,MaxNormIw
1,15.81446430707126,0.0013099996,20225.951056314894,431.61136,25.308924,20225.951056314894,100,47.315468,0.00078480865,266.59546,116.23211570150396,7.158711821126659,1215.9817,5.646281e-06,0.01,100,6.323325,116.23211570150396,116.23211570150396,12.63,1.3899568,0.34040964
1,5.41870169772647,0.0041478407,489530.5964629833,4514.535,48.937763,489530.5964629833,100,53.903248,1.2587178e-25,2706.7947,299.28242416798435,2.3773515152205835,2857.34,1.1588237e-27,0.01,100,18.454605,299.28242416798435,299.28242416798435,30.93,1.0862031,0.49625388
1,9.525044054109957,0.0011594885,2930514.7450752053,4604.134,11.350632,2930514.7450752053,100,24.152098,3.4400232e-21,3240.64,1489.064326736226,8.013503849444197,1693.6973,3.4768388e-23,0.009999999,100,10.498639,1489.064326736226,1489.064326736226,149.8,0.9894112,0.24410577
1,66.56302588755378,4.5717792e-05,1286128.6304773856,4896.386,0.52136487,1286128.6304773856,100,2.7975926,0.004700195,4380.5996,4566.950563899556,68.84179713205279,343.3709,4.4013672e-05,0.009999999,100,1.5023355,4566.950563899556,4566.950563899556,456.89,1.0678943,0.02619728
1,78.60132759901312,2.9669705e-05,762256.1617272686,4949.841,0.28362113,762256.1617272686,100,2.1418831,0.0057091936,4475.193,4764.140497245576,77.29586774107126,193.08308,5.8393172e-05,0.01,100,1.2722431,4764.140497245576,4764.140497245576,476.51,0.97771597,0.021907007
1,94.99401517665137,4.971665e-06,153328.16374031556,4975.79,0.052299943,153328.16374031556,100,1.3555177,0.20982806,4544.034,4945.668419105925,95.30892914700999,146.29025,0.0020458035,0.010000002,100,1.0526979,4945.668419105925,4945.668419105925,494.62,1.0256512,0.013216168
1,95.42478812522992,5.5912856e-06,236668.05205179952,4987.368,0.056275472,236668.05205179952,100,1.2863078,0.18381818,4556.588,4947.473278044085,94.75496379214891,93.5171,0.0018322498,0.01,100,1.0479457,4947.473278044085,4947.473278044085,494.79,1.0032375,0.012821568
1,97.8493597676981,2.231079e-06,53824.64819370449,4995.269,0.022812793,53824.64819370449,100,1.1571674,0.2015418,4569.8594,4976.692476756816,97.83898371345974,46.384663,0.0019931195,0.009999999,100,1.0219791,4976.692476756816,4976.692476756816,497.69,1.0111878,0.011443646
1,97.97928287820497,3.1705824e-06,48838.81769666461,4995.5283,0.030691715,48838.81769666461,100,1.1451429,0.19384472,4570.4004,4977.781879228898,96.95665921550153,43.679424,0.001970212,0.01,100,1.0206239,4977.781879228898,4977.781879228898,497.8,0.9838775,0.01163908
1,99.99997615814777,3.309917e-11,0.04896882491873323,4999.8604,3.309212e-07,0.04896882491873323,100,1.0009351,0.9976353,4579.05,4999.8595616611365,99.99996947912929,0.21980841,0.009977432,0.01,100,1.0000002,4999.8595616611365,4999.8595616611365,500.0,0.9998919,0.010010433
