AvgDiscRet,MaxNormIw,VarJ,Bound,ESSClassic,AvgVanillaIw,MinVanillaIw,VarVanillaIw,BatchSize,J,ESSRenyi,AvgNormIw,VarNormIw,VarDiscRet,AvgEpLen,AvgRet,eRenyi2,MaxVanillaIw,MinNormIw,VarRet,VanillaAvgRet
-6.963318810448982e-15,1.0,,4006531.5,1.0,51590.82,,266161260000.0,100,77.664955,3.135364092979536e-05,0.01,0.010000002,3264.825733248062,8.23,-6.963318810448982e-15,3189422.2,5159082.0,,3264.825733248062,72.25414295235169
-3.410605131648481e-14,1.0,,5238629.0,1.0,37528.83,,140841270000.0,100,139.59529,7.483234047966595e-05,0.01,0.010000003,5201.636682650611,13.04,-3.410605131648481e-14,1336320.6,3752882.8,,5201.636682650611,120.31535982835416
-5.4001247917767615e-15,1.0,8.521584e-09,1852525.2,1.0,8220.546,,6757736400.0,100,225.38124,0.0003786256362685497,0.01,0.0100000035,3949.806993129515,12.46,-5.4001247917767615e-15,264113.12,822054.6,,3949.806993129515,114.51542101443249
1.1510792319313624e-14,1.0,,5021630.0,1.0,32401.025,,104982634000.0,100,154.98926,5.157646029721451e-05,0.01,0.010000002,3661.6233621149995,12.5,1.1510792319313624e-14,1938869.0,3240102.5,,3661.6233621149995,114.9162557064231
-1.1652900866465642e-14,1.0,3.740257e-08,564438.6,1.0,4082.2812,,1666501900.0,100,138.30637,0.0008044084094614768,0.01,0.010000002,3852.5101024565556,13.17,-1.1652900866465642e-14,124314.96,408228.12,,3852.5101024565556,121.61546281818069
-5.684341886080802e-15,1.0,,673142.7,1.0,2962.1777,,877449600.0,100,227.31046,,0.01,0.010000003,4484.380619180197,13.27,-5.684341886080802e-15,inf,296217.78,,4484.380619180197,122.61412786931857
-1.0089706847793422e-14,1.0,,1731920.1,1.0,6558.768,,4301744600.0,100,264.0957,nan,0.01,0.010000002,5143.247439114404,13.59,-1.0089706847793422e-14,nan,655876.8,,5143.247439114404,125.81437587512762
-1.1795009413617663e-14,0.9270362,172.1659,2716668300000000.0,1.156443799623847,11246807000000.0,,1.0920615e+28,100,241.55016,nan,0.01,0.008633536,6325.544454615261,13.53,-1.1795009413617663e-14,nan,1042619800000000.0,,6325.544454615261,125.2155220099078
