J,AvgRet,VarRet,IterType,VanillaAvgRet,VarNormIw,ESSRenyi,Bound,MaxNormIw,AvgDiscRet,ESSClassic,Delta,VarVanillaIw,BatchSize,VarJ,AvgVanillaIw,AvgEpLen,MaxVanillaIw,MinNormIw,eRenyi2,EpsThisIter,MinVanillaIw,VarDiscRet,AvgNormIw
-1222.55,-1411.81120626,143057.311117,1,-1411.81120626,4.6002e-05,67.4061087622,-1704.01,0.0245338,-1411.81120626,68.7087341596,0.2,0.576168,100,212.732,1.11915,500.0,2.74569,0.000133053,1.48355,100,0.0148906,143057.311117,0.01
-1177.51,-1244.24493059,68431.4286906,1,-1244.24493059,1.31794e-05,86.877867044,-1598.76,0.0152299,-1244.24493059,88.4583120159,0.2,0.145622,100,131.394,1.05115,500.0,1.60089,0.00128744,1.15104,100,0.135329,68431.4286906,0.01
-1145.21,-1172.12362064,43214.3026054,1,-1172.12362064,7.58437e-06,94.547033289,-1553.57,0.0189033,-1172.12362064,93.0158804503,0.2,0.0692417,100,133.474,0.955485,500.0,1.80618,0.00226719,1.05767,100,0.216627,43214.3026054,0.01
-1132.91,-1143.31459704,19101.8349309,1,-1143.31459704,1.92103e-06,97.6744955073,-1528.95,0.012374,-1143.31459704,98.1336759211,0.2,0.0197041,100,102.501,1.01277,500.0,1.2532,0.00494553,1.02381,100,0.500868,19101.8349309,0.01
-1144.8,-1150.23294822,9238.30543932,1,-1150.23294822,1.51043e-06,98.7234667549,-1539.13,0.0121284,-1150.23294822,98.5267262068,0.2,0.0149178,100,68.1444,0.993807,500.0,1.20533,0.00502634,1.01293,100,0.499521,9238.30543932,0.01
-1128.33,-1132.23242919,4430.34394139,1,-1132.23242919,1.41129e-06,98.8383564472,-1461.86,0.0153304,-1132.23242919,98.6221147791,0.2,0.0139711,100,61.8259,0.994963,500.0,1.52532,0.00699655,1.01175,100,0.69613,4430.34394139,0.01
-1121.34,-1125.96971234,6985.91994375,1,-1125.96971234,1.54196e-06,98.2612371702,-1421.74,0.0133561,-1125.96971234,98.4963980054,0.2,0.0149372,100,102.894,0.984233,500.0,1.31456,0.00594101,1.0177,100,0.584734,6985.91994375,0.01
-1130.39,-1131.30384375,1397.62114092,1,-1131.30384375,4.00384e-07,99.6118412178,-1385.5,0.0129668,-1131.30384375,99.6051609149,0.2,0.00399619,100,44.0752,0.999044,500.0,1.29544,0.00840857,1.0039,100,0.840054,1397.62114092,0.01
-1105.39,-1122.08501013,8521.09983999,1,-1122.08501013,1.18362e-05,93.8204140348,-1411.03,0.031332,-1122.08501013,89.5111956563,0.2,0.125275,100,157.664,1.02879,500.0,3.22339,0.00597506,1.06587,100,0.614706,8521.09983999,0.01
-1124.82,-1134.72219155,41787.8715917,1,-1134.72219155,2.72645e-06,97.7371550436,-1521.49,0.0174647,-1134.72219155,97.3717588474,0.2,0.0264171,100,178.905,0.984337,500.0,1.71912,0.00627235,1.02315,100,0.617411,41787.8715917,0.01
