MaxVanillaIw,MaxNormIw,VarRet,BatchSize,J,AvgDiscRet,MinVanillaIw,ESSRenyi,Bound,VarDiscRet,ESSClassic,AvgEpLen,AvgNormIw,VarNormIw,eRenyi2,VarVanillaIw,VarJ,AvgRet,VanillaAvgRet,AvgVanillaIw,MinNormIw
431.70514,0.9866549,12414.200999294342,100,1016.8585,79.74702847706696,1.3686373e-16,1.6556216731679383,944.03186,12414.200999294342,1.0272004947841349,8.98,0.01,0.009732523,60.400272,1863.2421,136.75537,79.74702847706696,79.74702847706696,4.375442,3.1279977e-19
174.90454,0.9781691,132634.11660870898,100,2804.2908,210.82661331017192,,0.9896469573105269,2496.3984,132634.11660870898,1.0450009675699057,22.09,0.010000002,0.009565022,101.046135,305.81598,493.217,210.82661331017192,210.82661331017192,1.7880809,
23.233818,0.23498407,3195151.6945738867,100,4948.072,1502.2888531867952,,9.448249600967662,4458.9897,3195151.6945738867,7.231080716211077,151.06,0.01,0.0012958781,10.583971,12.668595,276.2296,1502.2888531867952,1502.2888531867952,0.98874015,
3.9104128,0.03499333,1407937.6836892816,100,4983.876,4628.153295402161,0.00088150386,52.4675505653144,4846.105,1407937.6836892816,50.43887124095435,462.94,0.010000003,9.925229e-05,1.9059399,1.2394108,79.502495,4628.153295402161,4628.153295402161,1.1174738,7.888362e-06
1.4101597,0.01323103,26926.136394834193,100,4999.667,4983.485665071867,0.016073124,89.66509393576327,4985.093,26926.136394834193,92.31693313673217,498.37,0.01,8.406548e-06,1.1152612,0.09549201,2.491864,4983.485665071867,4983.485665071867,1.0657974,0.00015080844
20.653124,0.30350822,0.01147157668808991,100,4999.981,4999.901999038132,2.7388353e-10,9.99143190806224,4999.9526,0.01147157668808991,7.132204052254938,500.0,0.010000002,0.0013152434,10.008575,6.090274,0.06971093,4999.901999038132,4999.901999038132,0.6804799,4.0248586e-12
1.1010292e-14,0.9987945,0.00207998845326536,100,4999.999,4999.953587496877,,95.53402817115706,4999.995,0.00207998845326536,1.0024147813447064,500.0,0.01,0.009975671,1.0467474,1.2122371e-30,0.0006313513,4999.953587496877,4999.953587496877,1.10235806e-16,
36.968163,0.6748989,789399.6563027984,100,4929.1313,3312.0466661746536,2.0834456e-32,3.2085958800636987,4511.9717,789399.6563027984,1.980778934333568,332.14,0.01,0.0049985023,31.16628,14.997476,517.4458,3312.0466661746536,3312.0466661746536,0.54775846,3.8035843e-34
22.795357,0.4644091,506154.0246404685,100,4973.4004,4222.143491392135,,8.516773172086534,4768.3716,506154.0246404685,3.4497423782832937,422.88,0.01,0.0028270374,11.741536,6.811188,187.3035,4222.143491392135,4222.143491392135,0.49084646,
80.217964,0.99580973,423100.842378326,100,4997.8037,4426.259436941351,,99.99828341569759,4943.0977,423100.842378326,1.0084269377481088,443.19,0.01,0.009915591,1.0000172,64.344154,30.38184,4426.259436941351,4426.259436941351,0.8055551,
6.9403334,0.0752763,296153.6715174067,100,4984.4556,4662.462974031939,8.242267e-12,24.789095196228644,4892.5293,296153.6715174067,20.02899932368589,466.65,0.01,0.00040330915,4.034032,3.4283268,66.72205,4662.462974031939,4662.462974031939,0.9219812,8.939734e-14
2.152443,0.020362101,8930.499376646618,100,4999.0933,4986.755678610058,4.8519807e-05,67.32903533185801,4989.407,8930.499376646618,72.53698102626957,498.71,0.010000002,3.8243128e-05,1.4852433,0.427338,7.860581,4986.755678610058,4986.755678610058,1.0570829,4.589972e-07
1.9778185,0.022071699,1502.6963672786092,100,4999.7715,4994.658910232567,0.0011219357,71.41443454559942,4995.9136,1502.6963672786092,66.86189001088137,499.5,0.01,5.0062663e-05,1.4002771,0.40199,1.4620972,4994.658910232567,4994.658910232567,0.896088,1.2520373e-05
42.62182,0.4262752,0.0013599298072490417,100,4999.9956,4999.960603117068,1.0091469e-12,7.422497506016318,4999.9844,0.0013599298072490417,3.3996766851677007,500.0,0.01,0.002870158,13.472554,28.693905,0.019155806,4999.960603117068,4999.960603117068,0.99986625,1.00928185e-14
6.065949,0.056306113,0.0015449219688017533,100,4999.971,4999.96074168301,0.0005216769,36.461143531224,4999.966,0.0015449219688017533,39.71156541445594,500.0,0.01,0.0001533493,2.7426457,1.7797877,0.05693539,4999.96074168301,4999.96074168301,1.0773162,4.842375e-06
75.126465,0.55107987,0.0012791388603781392,100,4999.997,4999.959571605832,,3.879373653647838,4999.982,0.0012791388603781392,2.4943574333209755,500.0,0.01,0.003948534,25.777357,73.38254,0.015043607,4999.959571605832,4999.959571605832,1.3632591,
30.749722,0.24605726,0.0014399815895990405,100,4999.99,4999.953574538329,1.6957555e-10,7.484815883305581,4999.9785,0.0014399815895990405,6.72548406822068,500.0,0.009999999,0.001400891,13.360382,21.878334,0.033045728,4999.953574538329,4999.953574538329,1.2496978,1.3569325e-12
43.387676,0.27575007,0.0013918143692395921,100,4999.991,4999.960892000927,2.3232799e-14,7.75317570646571,4999.98,0.0013918143692395921,6.897052967113872,500.0,0.01,0.00136353,12.897941,33.757187,0.032227587,4999.960892000927,4999.960892000927,1.5734421,1.476559e-16
62.97422,0.40183863,0.0016376222289653005,100,4999.9746,4999.956069180076,0.01548887,16.619446925557803,4999.9663,0.0016376222289653005,5.803449522507303,500.0,0.01,0.0016395083,6.0170474,40.265755,0.06810172,4999.956069180076,4999.956069180076,1.5671519,9.883451e-05
