MaxVanillaIw,VarDiscRet,VarJ,MaxNormIw,ESSClassic,BatchSize,AvgVanillaIw,AvgDiscRet,VanillaAvgRet,MinNormIw,AvgRet,VarRet,AvgNormIw,Bound,eRenyi2,ESSRenyi,VarNormIw,VarVanillaIw,AvgEpLen,J,MinVanillaIw
11875.023,4392402.075036766,,1.0,1.0,100,118.75024,9.094947017729283e-14,-4066.23450637783,,9.094947017729283e-14,4392402.075036766,0.01,462718.8,11071.399,0.009032281851649534,0.010000003,1410161.1,200.0,4052.7532,
3055931500000000.0,53.87068626735744,,1.0,1.0,100,30559315000000.0,2.220446049250313e-16,-7.988265865330783,,2.220446049250313e-16,53.87068626735744,0.01,243777880000000.0,2160871600000000.0,4.6277622462934375e-14,0.010000003,9.338719e+28,200.0,7.9772053,
1.0,58.98131977356718,7.6414337,0.01,100.0,100,1.0,-2.469136006766348e-15,-8.531511221845829,0.01,-2.469136006766348e-15,58.98131977356718,0.009999998,-0.6459051,1.0,100.0,3.5044917e-18,,200.0,-4.4703484e-08,1.0
1.0,47.45755117981907,6.854413,0.01,100.0,100,1.0,-1.5898393712632242e-15,-7.365137968916519,0.01,-1.5898393712632242e-15,47.45755117981907,0.009999998,-0.5793808,1.0,100.0,3.5044917e-18,,200.0,-2.9802322e-08,1.0
1.0,51.94764487775122,7.171344,0.01,100.0,100,1.0,-1.4299672557172017e-15,-7.959247477275555,0.01,-1.4299672557172017e-15,51.94764487775122,0.009999998,-0.60617,1.0,100.0,3.5044917e-18,,200.0,4.4703484e-08,1.0
1.0,54.83378132459056,7.3678656,0.01,100.0,100,1.0,6.394884621840901e-16,-6.833976627704142,0.01,6.394884621840901e-16,54.83378132459056,0.009999998,-0.6227814,1.0,100.0,3.5044917e-18,,200.0,2.2351742e-08,1.0
1.0,46.87385100346308,6.81213,0.01,100.0,100,1.0,5.062616992290713e-16,-7.179808415686084,0.01,5.062616992290713e-16,46.87385100346308,0.009999998,-0.5758069,1.0,100.0,3.5044917e-18,,200.0,2.2351742e-08,1.0
1.0,50.76357456703941,7.0891423,0.01,100.0,100,1.0,2.842170943040401e-16,-7.109183296373934,0.01,2.842170943040401e-16,50.76357456703941,0.009999998,-0.5992217,1.0,100.0,3.5044917e-18,,200.0,-3.7252903e-08,1.0
1.0,48.43008411275681,6.924289,0.01,100.0,100,1.0,4.707345624410664e-16,-8.187504500513699,0.01,4.707345624410664e-16,48.43008411275681,0.009999998,-0.58528733,1.0,100.0,3.5044917e-18,,200.0,-2.9802322e-08,1.0
1.0,55.66735598790029,7.4236565,0.01,100.0,100,1.0,-1.3322676295501878e-16,-8.385696981947182,0.01,-1.3322676295501878e-16,55.66735598790029,0.009999998,-0.6274974,1.0,100.0,3.5044917e-18,,200.0,-2.9802322e-08,1.0
1.0,46.1608727197591,6.7601233,0.01,100.0,100,1.0,8.881784197001253e-18,-7.8579547007262445,0.01,8.881784197001253e-18,46.1608727197591,0.009999998,-0.571411,1.0,100.0,3.5044917e-18,,200.0,5.9604645e-08,1.0
1.0,59.17768903071674,7.6541433,0.01,100.0,100,1.0,-6.572520305780927e-16,-8.27826935952704,0.01,-6.572520305780927e-16,59.17768903071674,0.009999998,-0.64697963,1.0,100.0,3.5044917e-18,,200.0,3.7252903e-08,1.0
1.0,58.883470284503744,7.6350923,0.01,100.0,100,1.0,-4.4408920985006264e-17,-9.308848802004812,0.01,-4.4408920985006264e-17,58.883470284503744,0.009999998,-0.64536923,1.0,100.0,3.5044917e-18,,200.0,-7.4505806e-08,1.0
1.0,57.99922340104321,7.5775476,0.01,100.0,100,1.0,-1.2434497875801754e-16,-8.887171490012642,0.01,-1.2434497875801754e-16,57.99922340104321,0.009999998,-0.64050514,1.0,100.0,3.5044917e-18,,200.0,-7.4505806e-08,1.0
1.0,44.711992596778124,6.653185,0.01,100.0,100,1.0,2.6645352591003756e-17,-7.216047311001932,0.01,2.6645352591003756e-17,44.711992596778124,0.009999998,-0.56237185,1.0,100.0,3.5044917e-18,,200.0,2.9802322e-08,1.0
1.0,62.41100673481649,7.8604636,0.01,100.0,100,1.0,1.3855583347321954e-15,-8.92852657002421,0.01,1.3855583347321954e-15,62.41100673481649,0.009999998,-0.66441923,1.0,100.0,3.5044917e-18,,200.0,,1.0
1.0,59.247626956541,7.6586647,0.01,100.0,100,1.0,1.3500311979441904e-15,-8.747826863823413,0.01,1.3500311979441904e-15,59.247626956541,0.009999998,-0.6473618,1.0,100.0,3.5044917e-18,,200.0,-5.9604645e-08,1.0
