MaxVanillaIw,eRenyi2,MinVanillaIw,VanillaAvgRet,MinNormIw,BatchSize,J,AvgDiscRet,VarVanillaIw,AvgNormIw,MaxNormIw,VarRet,Bound,ESSClassic,AvgRet,ESSRenyi,AvgVanillaIw,VarJ,VarNormIw,VarDiscRet,AvgEpLen
3.9338832,2.8058906,3.1851355e-19,-2339.573492804427,3.4444225e-21,100,-69.677345,-2339.573492804427,1.6241245,0.01,0.042541225,5278687.530320235,-881.6695,34.7183781651172,-2339.573492804427,35.639308752886244,0.9247226,183.21916,0.00018993122,5278687.530320235,200.0
1.3917714,1.1420203,0.042302847,-122.74223518980061,0.00041430283,100,-15.747096,-122.74223518980061,0.13528651,0.009999999,0.013630639,313211.75306821265,-275.7321,88.615935217074,-122.74223518980061,87.56411430067408,1.0210611,38.606236,1.2976307e-05,313211.75306821265,200.0
2.4720538,1.4713438,0.02390018,-9.492004663615829,0.00024988793,100,-8.601587,-9.492004663615829,0.48979205,0.009999999,0.025846519,65.69990279502056,-11.490228,65.35638406342733,-9.492004663615829,67.96508267432452,0.95643586,8.496325,5.354267e-05,65.69990279502056,200.0
1.1323566,1.0251245,0.06128173,-41.18388786449621,0.00062072586,100,-11.131045,-41.18388786449621,0.032326605,0.010000002,0.011469699,101761.05243494928,-283.6632,96.82090742049829,-41.18388786449621,97.54912221456274,0.9872592,21.480354,3.3166355e-06,101761.05243494928,200.0
1.1948366,1.0481291,0.12561525,-9.973496234550701,0.0012615961,100,-8.700864,-9.973496234550701,0.060448896,0.009999999,0.012000144,239.878061121264,-20.885952,94.30724798568679,-9.973496234550701,95.40809595256964,0.9956852,7.8396206,6.0973953e-06,239.878061121264,200.0
2.4294527,1.7968651,2.4981892e-10,-9.162401321828636,2.2184212e-12,100,-7.625758,-9.162401321828636,0.77884614,0.01,0.021573823,54.752851750786185,-10.707843,62.18794050192688,-9.162401321828636,55.65248035967419,1.1261113,8.0874195,6.141706e-05,54.752851750786185,200.0
2.3223166,1.1088094,0.83564246,-7.414772716239745,0.008320439,100,-7.169938,-7.414772716239745,0.0703051,0.01,0.023123158,47.30180052205037,-9.260793,93.54505223332842,-7.414772716239745,90.18682952731572,1.004325,7.0369506,6.9700886e-06,47.30180052205037,200.0
1.1476849,1.0303248,0.11462809,-7.506756919671379,0.0011567893,100,-7.3764863,-7.506756919671379,0.045050915,0.01,0.011582062,46.35061658219192,-9.31847,95.65514660040029,-7.506756919671379,97.05677120339475,0.9909159,6.85106,4.58807e-06,46.35061658219192,200.0
2.6409779,1.3346851,0.054238614,-7.8393958384575955,0.0005455532,100,-7.0642805,-7.8393958384575955,0.35905978,0.01,0.02656399,56.1652003181385,-9.480006,73.54927967898415,-7.8393958384575955,74.92404085332905,0.99419475,8.267729,3.6326524e-05,56.1652003181385,200.0
2.598147,1.9093846,3.7665654e-07,-6.267145061101941,3.3713263e-09,100,-5.3021307,-6.267145061101941,0.9275041,0.010000002,0.023255141,36.90660944174272,-7.9848166,57.615840719632764,-6.267145061101941,52.37289520767176,1.1172355,7.4353375,7.430643e-05,36.90660944174272,200.0
