MinVanillaIw,VarDiscRet,AvgNormIw,MaxVanillaIw,MinNormIw,VanillaAvgRet,J,BatchSize,eRenyi2,EpsThisIter,Bound,VarVanillaIw,VarRet,IterType,MaxNormIw,AvgRet,AvgDiscRet,AvgVanillaIw,VarNormIw,ESSRenyi,AvgEpLen,VarJ,ESSClassic
4.4208914e-34,52575.55293859691,0.010000002,42.221817,6.9045815e-36,124.43734860743247,1448.6495,100,19.931396,100,674.8966,18.29562,52575.55293859691,1,0.65942353,124.43734860743247,124.43734860743247,0.64028376,0.0044627464,5.017209911929347,13.45,4320.545,2.2133101669032405
9.154584e-18,142526.81886576323,0.01,65.66212,8.647099e-20,373.4481988959224,1433.4004,100,20.02179,100,785.9718,45.99951,142526.81886576323,1,0.6202214,373.4481988959224,373.4481988959224,1.0586884,0.0041040904,4.994558540652426,38.36,1846.1696,2.402085481477863
1.8708982e-12,1270716.8930465376,0.01,70.3394,1.2224622e-14,1122.1871754495257,4512.92,100,15.181466,100,2873.3206,79.35829,1270716.8930465376,1,0.45960414,1122.1871754495257,1122.1871754495257,1.5304344,0.0033881513,6.586979104928028,113.23,3092.0166,2.89496767191227
4.816987e-07,3881083.1885741367,0.01,12.820689,4.5418664e-09,2706.557836227942,4741.0596,100,4.419028,100,3856.4536,4.344144,3881083.1885741367,1,0.120884396,2706.557836227942,2706.557836227942,1.0605743,0.00038620867,22.629411808502798,271.37,850.7525,20.731984000722708
0.0040751756,1336456.8499984166,0.01,3.031684,4.7827827e-05,4557.747974875633,4915.0527,100,1.670519,100,4371.161,0.6279656,1336456.8499984166,1,0.035581008,4557.747974875633,4557.747974875633,0.85205114,8.649768e-05,59.861636018108186,456.0,258.12595,53.86982468713388
0.19054656,270765.05185200076,0.01,1.4546795,0.001904853,4912.894840636392,4975.529,100,1.097706,100,4534.6396,0.10754211,270765.05185200076,1,0.014542119,4912.894840636392,4912.894840636392,1.0003216,1.0747299e-05,91.09907718371348,491.38,131.69417,90.38337593369117
0.6874367,475169.9245804782,0.01,5.248061,0.0056964797,4912.894840636392,4854.491,200,1.2142254,100,4390.792,0.5661281,270765.05185200076,,0.04348833,4912.894840636392,4860.153187448424,1.2067746,3.8874285e-05,164.71406224888105,491.38,718.7918,72.20970195582302
0.070629954,234174.01440945306,0.005,1.6204485,0.00036578102,4904.612351706975,4976.0464,200,1.160586,100,4655.486,0.16440879,234174.01440945306,1,0.008392038,4904.612351706975,4904.612351706975,0.96546775,4.409502e-06,172.3267384649549,490.56,114.62886,170.14061650414695
1.0,245038.36416689478,0.009999998,1.0,0.01,4939.105046054404,4939.1045,200,1.0,100,4518.294,,245038.36416689478,2,0.01,4939.105046054404,4939.105046054404,1.0,3.5044917e-18,200.0,493.96,492.5322,100.0
0.0302588,246293.61186384066,0.005,1.6194354,0.00015096438,4944.448265519623,4974.366,200,1.0987003,100,4662.469,0.09949129,246293.61186384066,1,0.008079536,4944.448265519623,4944.448265519623,1.0021834,2.476456e-06,182.0332648841228,494.485,238.53171,182.0560641769323
