VarJ,VarVanillaIw,AvgDiscRet,Bound,ESSRenyi,AvgRet,AvgVanillaIw,MinNormIw,VarRet,VarDiscRet,J,BatchSize,ESSClassic,AvgNormIw,MinVanillaIw,MaxNormIw,MaxVanillaIw,eRenyi2,AvgEpLen,VarNormIw,VanillaAvgRet
,1230185.8,9.094947017729283e-14,414723.38,0.009680054351992678,9.094947017729283e-14,110.91373,,4392402.075036766,4392402.075036766,4052.7532,100,1.0,0.01,,1.0,11091.373,10330.5205,200.0,0.010000003,-4066.23450637783
,1.087567e+29,-9.769962616701378e-17,261538980000000.0,4.2883314999068316e-14,-9.769962616701378e-17,32978277000000.0,,53.871315269329266,53.871315269329266,7.9306445,100,1.0,0.01,,1.0,3297827800000000.0,2331909300000000.0,200.0,0.010000002,-7.988309687739011
7.642966,,1.403321903126198e-15,-0.71809584,100.0,1.403321903126198e-15,1.0,0.01,59.00497773690394,59.00497773690394,-2.9802322e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.53322208508802
6.8557873,,4.1744385725905884e-16,-0.6199538,100.0,4.1744385725905884e-16,1.0,0.01,47.47658685094637,47.47658685094637,-7.450581e-09,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.366614933957884
7.1727815,,-4.440892098500626e-16,-0.6699936,100.0,-4.440892098500626e-16,1.0,0.01,51.96848156778574,51.96848156778574,-7.4505806e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.960843581833148
7.369343,,1.1723955140041654e-15,-0.5749761,100.0,1.1723955140041654e-15,1.0,0.01,54.8557756711595,54.8557756711595,1.0430813e-07,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-6.835347076515177
6.8134956,,-5.062616992290713e-16,-0.60438496,100.0,-5.062616992290713e-16,1.0,0.01,46.89265254694752,46.89265254694752,5.9604645e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.181248215738493
7.090564,,1.0125233984581427e-15,-0.59842837,100.0,1.0125233984581427e-15,1.0,0.01,50.7839363153109,50.7839363153109,-5.2154064e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.110608933645863
6.925678,,9.681144774731366e-16,-0.68919545,100.0,9.681144774731366e-16,1.0,0.01,48.449509876010914,48.449509876010914,1.8626451e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.189146378503533
7.425145,,3.2862601528904633e-16,-0.70550996,100.0,3.2862601528904633e-16,1.0,0.01,55.68968468912419,55.68968468912419,4.4703484e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.38737860438821
6.7614784,,-1.1457501614131616e-15,-0.6614155,100.0,-1.1457501614131616e-15,1.0,0.01,46.1793882809332,46.1793882809332,5.9604645e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.859530492576792
7.6556783,,4.085620730620576e-16,-0.6967223,100.0,4.085620730620576e-16,1.0,0.01,59.201425759613585,59.201425759613585,-6.7055225e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.279929439012124
7.6366234,,1.5987211554602255e-15,-0.7833049,100.0,1.5987211554602255e-15,1.0,0.01,58.90708899948809,58.90708899948809,-1.0430813e-07,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-9.310715548332434
7.579067,,4.973799150320702e-16,-0.7447909,100.0,4.973799150320702e-16,1.0,0.01,58.02248743626741,58.02248743626741,-2.9802322e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.888953675446608
6.6545186,,1.5010215292932116e-15,-0.60677767,100.0,1.5010215292932116e-15,1.0,0.01,44.729926998477325,44.729926998477325,1.4901161e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.217494378206941
7.8620405,,1.580957587066223e-15,-0.75158703,100.0,1.580957587066223e-15,1.0,0.01,62.43604037792266,62.43604037792266,4.4703484e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.930317048582856
7.6602006,,-1.0658141036401502e-16,-0.73608243,100.0,-1.0658141036401502e-16,1.0,0.01,59.27139173819915,59.27139173819915,2.9802322e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.749581105837652
7.48828,,-2.6734170432973768e-15,-0.7665433,100.0,-2.6734170432973768e-15,1.0,0.01,56.64074131776723,56.64074131776723,-2.7939677e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-9.107951751592207
7.561965,,-9.769962616701378e-17,-0.66832185,100.0,-9.769962616701378e-17,1.0,0.01,57.76092086530888,57.76092086530888,8.940697e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.941145536084198
7.35374,,6.661338147750939e-16,-0.650473,100.0,6.661338147750939e-16,1.0,0.01,54.62373564638001,54.62373564638001,2.9802322e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.728938055273735
7.0869203,,8.526512829121202e-16,-0.7420826,100.0,8.526512829121202e-16,1.0,0.01,50.731760052575765,50.731760052575765,2.4214387e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.821162370214005
6.5507483,,-3.552713678800501e-16,-0.59548736,100.0,-3.552713678800501e-16,1.0,0.01,43.34576186377847,43.34576186377847,1.0430813e-07,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.084578175934726
7.1997995,,-8.881784197001252e-16,-0.69230485,100.0,-8.881784197001252e-16,1.0,0.01,52.36072320069907,52.36072320069907,-1.4901161e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.23033161743161
6.81282,,1.3145040611561853e-15,-0.60380465,100.0,1.3145040611561853e-15,1.0,0.01,46.88334777456067,46.88334777456067,8.940697e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.174798225354092
7.044674,,-8.171241461241152e-16,-0.7605991,100.0,-8.171241461241152e-16,1.0,0.01,50.128724592547194,50.128724592547194,1.4901161e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-9.03757126681356
7.2977514,,-1.3677947663381929e-15,-0.6055077,100.0,-1.3677947663381929e-15,1.0,0.01,53.795130323622985,53.795130323622985,7.4505806e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.194618185914494
6.803905,,1.4210854715202004e-16,-0.6531991,100.0,1.4210854715202004e-16,1.0,0.01,46.76073154667997,46.76073154667997,5.9604645e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.770929823247668
7.9842486,,1.1013412404281553e-15,-0.7094939,100.0,1.1013412404281553e-15,1.0,0.01,64.39215236537245,64.39215236537245,-5.5879354e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.443571468412586
7.8078218,,-4.085620730620576e-16,-0.70899504,100.0,-4.085620730620576e-16,1.0,0.01,61.57786556052882,61.57786556052882,1.4901161e-07,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.430880612882355
7.203005,,7.727152251391089e-16,-0.6874591,100.0,7.727152251391089e-16,1.0,0.01,52.40735534784944,52.40735534784944,2.9802322e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.168282798505079
7.1942453,,-7.371880883511039e-16,-0.6607853,100.0,-7.371880883511039e-16,1.0,0.01,52.27996736509368,52.27996736509368,-5.9604645e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.851389490287723
6.910802,,-1.580957587066223e-15,-0.662738,100.0,-1.580957587066223e-15,1.0,0.01,48.241597287040854,48.241597287040854,-5.9604645e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.875839815085511
7.2458386,,1.376676550535194e-16,-0.60478985,100.0,1.376676550535194e-16,1.0,0.01,53.03250548113954,53.03250548113954,1.1175871e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.194093760914678
7.23245,,1.4210854715202004e-16,-0.63529444,100.0,1.4210854715202004e-16,1.0,0.01,52.83670044680451,52.83670044680451,-2.9802322e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.559287319778378
6.8091784,,1.3322676295501878e-15,-0.778333,100.0,1.3322676295501878e-15,1.0,0.01,46.83324289334958,46.83324289334958,-2.2351742e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-9.285041081189162
7.208064,,1.4299672557172017e-15,-0.7508129,100.0,1.4299672557172017e-15,1.0,0.01,52.48098960717932,52.48098960717932,-8.940697e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.921633708383558
6.97774,,-3.4638958368304885e-16,-0.63803256,100.0,-3.4638958368304885e-16,1.0,0.01,49.18066274170828,49.18066274170828,-2.2351742e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.58213625750974
7.767262,,1.723066134218243e-15,-0.6976806,100.0,1.723066134218243e-15,1.0,0.01,60.93976303598054,60.93976303598054,1.4901161e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.289755603502476
7.1116104,,5.062616992290713e-16,-0.6010782,100.0,5.062616992290713e-16,1.0,0.01,51.08586669828589,51.08586669828589,1.4901161e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.145113980910163
7.2218804,,-5.151434834260726e-16,-0.666804,100.0,-5.151434834260726e-16,1.0,0.01,52.682384435765165,52.682384435765165,-2.9802322e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.923821151225422
7.1774178,,-5.329070518200751e-16,-0.6893195,100.0,-5.329070518200751e-16,1.0,0.01,52.03568272033782,52.03568272033782,-7.4505806e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.19535657146624
7.7981896,,1.5276668818842154e-15,-0.71416444,100.0,1.5276668818842154e-15,1.0,0.01,61.42602941581236,61.42602941581236,-8.940697e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.485658463845844
7.1112137,,8.704148513061227e-16,-0.6764869,100.0,8.704148513061227e-16,1.0,0.01,51.08016671701546,51.08016671701546,1.1920929e-07,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.038337440388517
7.657277,,-4.618527782440651e-16,-0.67422897,100.0,-4.618527782440651e-16,1.0,0.01,59.226162042687506,59.226162042687506,8.195639e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.012628704087364
7.518436,,-4.796163466380677e-16,-0.76166517,100.0,-4.796163466380677e-16,1.0,0.01,57.09785826976637,57.09785826976637,-1.6763806e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-9.049980460382733
6.951437,,9.769962616701378e-16,-0.6665961,100.0,9.769962616701378e-16,1.0,0.01,48.81058522128999,48.81058522128999,2.2351742e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-7.9211330146135115
7.302713,,-8.704148513061227e-16,-0.7071201,100.0,-8.704148513061227e-16,1.0,0.01,53.8683020339073,53.8683020339073,7.4505806e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.411154466482293
7.1546206,,2.149391775674303e-15,-0.7487792,100.0,2.149391775674303e-15,1.0,0.01,51.70564868476886,51.70564868476886,-4.4703484e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-8.915584201375985
7.135547,,-9.947598300641404e-16,-0.78215206,100.0,-9.947598300641404e-16,1.0,0.01,51.430337291222564,51.430337291222564,-5.9604645e-08,100,100.0,0.009999998,1.0,0.01,1.0,1.0,200.0,3.5044917e-18,-9.295253251295364
