renyi2,VarDiscRet,IterType,VanillaAvgRet,ESSClassic,EpsThisIter,VarNormIw,SamplesThisIter,MinVanillaIw,MinNormIw,VarRet,J,AvgEpLen,Bound,AvgVanillaIw,AvgNormIw,MaxVanillaIw,BatchSize,delta,ESSRenyi,AvgDiscRet,MaxNormIw,AvgRet,VarJ,VarVanillaIw
nan,13192.5484772,1,286.296662624,9.72399834237,1613,9.6568e-08,50000,,,13192.5484772,104885.0,30.9981401116,483.997,27.8398,3.44424e-06,419515.0,100,0.5,nan,286.296662624,0.0519009,286.296662624,8991.98,6.30926e+06
nan,11916.226274,1,284.704000196,13.685990103,1622,3.06937e-08,50000,,,11916.226274,111499.0,30.8261405672,503.911,756.505,3.42513e-06,4.21432e+06,100,0.5,nan,284.704000196,0.0190806,284.704000196,5424.35,1.49733e+09
nan,26648.0633492,1,329.952036776,9.99996195718,1401,3.94832e-07,50000,,,26648.0633492,156137.0,35.6887937188,775.605,8.23231e+09,3.96542e-06,2.07157e+14,100,0.5,nan,329.952036776,0.0997857,329.952036776,5447.97,1.70167e+24
nan,23666.0985177,1,334.975422573,9.97137783075,1380,3.32223e-07,50000,,,23666.0985177,183294.0,36.231884058,918.072,2.21245e+10,4.02576e-06,4.98544e+14,100,0.5,nan,334.975422573,0.0907147,334.975422573,3313.38,1.00341e+25
nan,22602.9699012,1,337.734108297,9.9439969795,1369,3.52669e-07,50000,,,22602.9699012,149857.0,36.523009496,717.309,3.69653e+08,4.05811e-06,8.46803e+12,100,0.5,nan,337.734108297,0.0929633,337.734108297,4357.07,2.92623e+21
nan,15971.2037551,1,325.607070083,7.98739697635,1419,2.13497e-08,50000,,,15971.2037551,109287.0,35.2360817477,529.317,13.9586,3.91512e-06,71447.1,100,0.5,nan,325.607070083,0.0200396,325.607070083,5081.42,271384.0
nan,22633.1061547,1,324.581813721,9.99999680133,1423,3.90299e-07,50000,,,22633.1061547,160138.0,35.1370344343,772.36,1.51085e+12,3.90412e-06,3.86939e+16,100,0.5,nan,324.581813721,0.0999873,324.581813721,3371.58,5.8451e+28
nan,27269.3310802,1,362.315177333,5.16965392804,1276,1.29465e-08,50000,,,27269.3310802,144686.0,39.1849529781,654.31,47.994,4.35388e-06,117310.0,100,0.5,nan,362.315177333,0.0106421,362.315177333,9277.53,1.57316e+06
nan,26453.5047206,1,340.103617887,9.9982507744,1360,3.93643e-07,50000,,,26453.5047206,180446.0,36.7647058824,921.1,1.79581e+10,4.08497e-06,4.31519e+14,100,0.5,nan,340.103617887,0.0981584,340.103617887,4125.25,7.60761e+24
nan,28098.9933027,1,363.453301252,9.99979151279,1273,4.11575e-07,50000,,,28098.9933027,143565.0,39.2772977219,754.218,7152.2,4.36414e-06,1.59149e+08,100,0.5,nan,363.453301252,0.09711,363.453301252,3289.76,1.10543e+12
