AvgRet,ESSRenyi,VanillaAvgRet,AvgDiscRet,EpsThisIter,MinVanillaIw,MaxVanillaIw,AvgVanillaIw,VarRet,AvgNormIw,J,VarDiscRet,IterType,ESSClassic,Delta,AvgEpLen,VarNormIw,MinNormIw,eRenyi2,VarJ,BatchSize,MaxNormIw,Bound,VarVanillaIw
-1486.51658804,43.0509696184,-1486.51658804,-1486.51658804,100,5.18211e-06,4.60377,0.948345,156831.227873,0.01,-1171.16,156831.227873,1,40.7095869203,0.6,500.0,0.000147114,5.46437e-08,2.32283,136.154,100,0.0485453,-1416.88,1.32308
-1169.58067256,89.1581626417,-1169.58067256,-1169.58067256,100,0.164381,1.61874,1.01216,27807.8225537,0.01,-1142.82,27807.8225537,1,87.843996423,0.6,500.0,1.39779e-05,0.00162406,1.1216,76.1313,100,0.015993,-1312.33,0.143199
-1151.81014376,50.0627320299,-1151.81014376,-1151.81014376,100,0.023406,16.0241,1.08536,17790.0617506,0.01,-1040.53,17790.0617506,1,23.6614721055,0.6,500.0,0.000325887,0.000215652,1.99749,554.206,100,0.147638,-1266.76,3.83899
-1139.07873995,43.5115937959,-1139.07873995,-1139.07873995,100,0.0104304,78.4263,1.48318,10266.2999332,0.01,-995.717,10266.2999332,1,3.53607333517,0.6,500.0,0.00275555,7.03241e-05,2.29824,610.843,100,0.52877,-1210.28,60.6176
-1118.66248393,41.6996889552,-1118.66248393,-1118.66248393,100,0.00330532,8.24713,1.01006,17297.9851707,0.01,-1003.85,17297.9851707,1,36.7073264792,0.6,500.0,0.000174167,3.27241e-05,2.3981,457.527,100,0.0816502,-1215.88,1.77687
-1081.22370651,24.1383259483,-1081.22370651,-1081.22370651,100,3.25157e-16,11.6146,0.868645,45818.1333897,0.01,-825.809,45818.1333897,1,18.1237643865,0.6,500.0,0.000456325,3.74327e-18,4.14279,458.194,100,0.133709,-1151.4,3.44317
-936.959349706,49.58575136,-936.959349706,-936.959349706,100,1.91166e-06,3.82019,0.935413,132619.299485,0.01,-765.258,132619.299485,1,47.4793722996,0.6,500.0,0.000111735,2.04365e-08,2.01671,243.184,100,0.0408396,-992.704,0.977679
-830.786435756,56.0894949075,-830.786435756,-830.786435756,100,0.000960156,4.95599,0.921893,80730.804475,0.01,-730.832,80730.804475,1,46.2682101279,0.6,500.0,0.000117304,1.04151e-05,1.78287,265.292,100,0.0537588,-944.695,0.996953
-719.924870928,51.283987546,-719.924870928,-719.924870928,100,0.00380645,28.6689,1.2674,15305.8380605,0.01,-639.502,15305.8380605,1,15.9645820934,0.6,500.0,0.000531704,3.00335e-05,1.94993,234.144,100,0.226202,-778.033,8.54079
-674.363088534,80.8713731269,-674.363088534,-674.363088534,100,0.100367,2.2472,1.09231,20162.8244675,0.01,-636.758,20162.8244675,1,77.5463025469,0.6,500.0,2.92477e-05,0.000918853,1.23653,95.5436,100,0.0205729,-781.424,0.348966
-649.607203425,78.0157098934,-649.607203425,-649.607203425,100,0.0222515,3.43044,1.05596,7683.56071238,0.01,-623.904,7683.56071238,1,71.7411304122,0.6,500.0,3.97879e-05,0.000210722,1.28179,65.2573,100,0.0324864,-709.31,0.443658
-626.540057747,81.4100661084,-626.540057747,-626.540057747,100,0.206882,2.55522,1.00613,5825.37220976,0.01,-607.584,5825.37220976,1,77.4753029303,0.6,500.0,2.9367e-05,0.00205622,1.22835,70.9026,100,0.0253965,-706.857,0.297281
-628.397397707,64.5754900353,-628.397397707,-628.397397707,100,0.0329562,14.416,0.984658,5231.76095751,0.01,-595.378,5231.76095751,1,29.920776212,0.6,500.0,0.000236582,0.000334697,1.54858,161.804,100,0.146407,-703.541,2.29378
-605.422481177,91.3943248543,-605.422481177,-605.422481177,100,0.261327,1.62793,1.03611,4763.40658007,0.01,-597.909,4763.40658007,1,92.9065547429,0.6,500.0,7.7122e-06,0.0025222,1.09416,61.7908,100,0.015712,-686.856,0.0827917
-613.172709578,91.9841028603,-613.172709578,-613.172709578,100,0.258694,2.50221,1.02848,15695.7580564,0.01,-600.038,15695.7580564,1,90.5023203774,0.6,500.0,1.06004e-05,0.00251531,1.08714,79.5338,100,0.0243292,-748.112,0.112129
-597.166068219,86.6384268726,-597.166068219,-597.166068219,100,0.310536,2.15077,1.03587,5421.86837006,0.01,-585.733,5421.86837006,1,87.4512250233,0.6,500.0,1.44944e-05,0.00299782,1.15422,69.9651,100,0.0207629,-668.485,0.155529
-588.486804503,41.4160947434,-588.486804503,-588.486804503,100,0.0625756,109.056,2.11069,4554.90001538,0.01,-503.464,4554.90001538,1,3.68983445967,0.6,500.0,0.00263651,0.00029647,2.41452,392.727,100,0.516687,-615.738,117.457
-610.519489135,90.7758292785,-610.519489135,-610.519489135,100,0.253965,1.80309,0.972201,23711.7730733,0.01,-592.399,23711.7730733,1,88.7818904876,0.6,500.0,1.27632e-05,0.00261227,1.10161,81.5738,100,0.0185465,-760.441,0.120635
-585.331329266,84.651507395,-585.331329266,-585.331329266,100,0.162552,2.21489,1.018,5991.33676686,0.01,-572.947,5991.33676686,1,82.7497622046,0.6,500.0,2.10568e-05,0.00159678,1.18131,80.438,100,0.0217572,-662.225,0.218217
-570.551943481,58.618827257,-570.551943481,-570.551943481,100,0.287808,24.601,1.25285,2697.01550305,0.01,-541.448,2697.01550305,1,19.5098532906,0.6,500.0,0.000416729,0.00229722,1.70594,142.92,100,0.19636,-614.06,6.54114
-572.676134636,77.2754012493,-572.676134636,-572.676134636,100,0.111628,3.32436,1.0543,3793.77999583,0.01,-557.5,3793.77999583,1,75.6631686117,0.6,500.0,3.24896e-05,0.00105878,1.29407,71.8571,100,0.0315313,-628.993,0.361141
-564.51824909,91.4855664387,-564.51824909,-564.51824909,100,0.494396,2.59403,1.04438,4427.9209969,0.01,-557.118,4427.9209969,1,90.5404741951,0.6,500.0,1.05533e-05,0.00473386,1.09307,57.4869,100,0.0248379,-645.799,0.115109
-552.8237258,71.7502314949,-552.8237258,-552.8237258,100,0.0268624,3.47276,0.997971,2836.11652176,0.01,-533.453,2836.11652176,1,68.362402311,0.6,500.0,4.67467e-05,0.000269171,1.39372,60.0844,100,0.0347982,-601.804,0.465572
-537.871447257,82.183339819,-537.871447257,-537.871447257,100,0.120784,5.23484,1.02223,2575.9424888,0.01,-527.321,2575.9424888,1,72.0682453115,0.6,500.0,3.91488e-05,0.00118157,1.21679,59.7519,100,0.0512101,-587.158,0.409087
-536.841047317,88.6376239231,-536.841047317,-536.841047317,100,0.111588,3.22559,1.04885,2884.261842,0.01,-529.417,2884.261842,1,84.6648713599,0.6,500.0,1.82957e-05,0.00106391,1.12819,53.3649,100,0.0307535,-592.142,0.201269
-533.432755523,85.473075691,-533.432755523,-533.432755523,100,0.20768,2.50796,1.03128,2934.49256913,0.01,-524.483,2934.49256913,1,85.0383609665,0.6,500.0,1.77717e-05,0.00201382,1.16996,58.5878,100,0.024319,-584.952,0.189008
-533.763455982,58.191343243,-533.763455982,-533.763455982,100,0.00173539,13.8898,1.18941,3379.45805351,0.01,-503.617,3379.45805351,1,34.0684000078,0.6,500.0,0.000195482,1.45904e-05,1.71847,110.295,100,0.116779,-577.257,2.76547
-524.640720798,84.8053101988,-524.640720798,-524.640720798,100,0.0178426,2.26009,0.988262,3116.86273591,0.01,-515.225,3116.86273591,1,79.5311310353,0.6,500.0,2.59969e-05,0.000180545,1.17917,52.9946,100,0.0228694,-576.359,0.253901
-515.336078985,81.0207801114,-515.336078985,-515.336078985,100,0.149713,2.55019,0.959864,2582.97743176,0.01,-503.853,2582.97743176,1,77.7431728157,0.6,500.0,2.89178e-05,0.00155973,1.23425,52.1566,100,0.0265683,-566.793,0.266431
-504.601491894,76.25951118,-504.601491894,-504.601491894,100,0.143979,2.68607,1.07508,2270.94040541,0.01,-490.642,2270.94040541,1,73.2311176057,0.6,500.0,3.69232e-05,0.00133924,1.31131,50.4666,100,0.0249848,-548.141,0.426758
-506.364043164,85.5891674904,-506.364043164,-506.364043164,100,0.326951,2.38673,1.02298,1998.51487709,0.01,-498.928,1998.51487709,1,84.5868590019,0.6,500.0,1.84058e-05,0.00319606,1.16837,46.4475,100,0.0233312,-553.562,0.192615
-502.618961154,81.8672739578,-502.618961154,-502.618961154,100,0.0353666,4.24033,1.04546,1830.88330766,0.01,-493.227,1830.88330766,1,73.2244435849,0.6,500.0,3.69358e-05,0.000338287,1.22149,52.1818,100,0.0405594,-548.46,0.403705
-508.152538229,92.8130015527,-508.152538229,-508.152538229,100,0.316342,2.03445,1.00488,2844.71389654,0.01,-503.961,2844.71389654,1,93.4584968737,0.6,500.0,7.07009e-06,0.00314804,1.07744,54.6744,100,0.0202456,-563.512,0.0713933
-495.3555209,87.6762726614,-495.3555209,-495.3555209,100,0.119631,2.00206,1.00611,2010.31110076,0.01,-488.125,2010.31110076,1,85.7794720002,0.6,500.0,1.67454e-05,0.00118905,1.14056,45.7376,100,0.0198991,-540.377,0.169506
-492.383547473,89.7053849379,-492.383547473,-492.383547473,100,0.255279,1.98968,1.00658,1770.87060195,0.01,-487.384,1770.87060195,1,88.1706511871,0.6,500.0,1.35519e-05,0.0025361,1.11476,42.4426,100,0.0197668,-540.88,0.137308
-486.686511782,86.6854567991,-486.686511782,-486.686511782,100,0.0800265,1.78263,1.00553,2082.12588678,0.01,-478.824,2082.12588678,1,86.5210607527,0.6,500.0,1.57361e-05,0.000795865,1.1536,43.4409,100,0.0177283,-535.133,0.159106
-491.165795834,91.9207938628,-491.165795834,-491.165795834,100,0.351569,1.90297,1.00255,2606.65748453,0.01,-486.355,2606.65748453,1,92.609874512,0.6,500.0,8.06046e-06,0.00350674,1.08789,50.0835,100,0.0189812,-547.423,0.0810167
-501.294775091,50.3103777785,-501.294775091,-501.294775091,100,0.0117032,5.58486,0.926761,3608.49733165,0.01,-462.766,3608.49733165,1,39.1493499984,0.6,500.0,0.000157002,0.00012628,1.98766,72.8361,100,0.0602621,-543.631,1.34847
-473.451412807,86.2809279485,-473.451412807,-473.451412807,100,0.152778,2.07669,1.04974,1509.27056679,0.01,-465.979,1509.27056679,1,85.4457193632,0.6,500.0,1.72054e-05,0.00145538,1.159,39.4798,100,0.0197829,-519.75,0.189597
-479.453369574,92.82503837,-479.453369574,-479.453369574,100,0.279393,1.89495,1.0337,2306.8671821,0.01,-475.278,2306.8671821,1,92.4027686664,0.6,500.0,8.30492e-06,0.00270284,1.0773,51.0086,100,0.0183317,-532.536,0.0887416
-474.011426385,93.9083553124,-474.011426385,-474.011426385,100,0.41861,1.84579,0.975587,1449.83590108,0.01,-471.004,1449.83590108,1,93.5196331388,0.6,500.0,6.99938e-06,0.00429086,1.06487,37.8205,100,0.0189198,-522.262,0.0666179
-479.949953119,91.7747332101,-479.949953119,-479.949953119,100,0.317494,1.69266,0.962345,3048.37356089,0.01,-475.585,3048.37356089,1,92.4027547873,0.6,500.0,8.30493e-06,0.00329917,1.08962,54.7796,100,0.0175889,-530.072,0.0769127
-471.886269689,93.0570061533,-471.886269689,-471.886269689,100,0.377055,2.63463,1.03605,2249.35409088,0.01,-467.769,2249.35409088,1,89.7078819879,0.6,500.0,1.15888e-05,0.00363934,1.07461,42.257,100,0.0254294,-519.793,0.124396
