J,AvgRet,BatchSize,MaxVanillaIw,delta,SamplesThisIter,VarVanillaIw,VarRet,AvgNormIw,AvgEpLen,VarJ,renyi2,ESSClassic,VanillaAvgRet,VarDiscRet,EpsThisIter,MaxNormIw,IterType,MinVanillaIw,MinNormIw,ESSRenyi,AvgVanillaIw,VarNormIw,Bound,AvgDiscRet
78148.2,50.2912327389,100,1.45668e+22,0.4,50000,inf,4319.06122459,6.6999e-07,6.02990834539,9544.56,nan,19.7930238392,50.2912327389,4319.06122459,8292,0.0337707,1,,,nan,2.88997e+17,1.86841e-08,524.263,50.2912327389
51095.6,47.8225154896,100,4.68259e+09,0.4,50000,1.69693e+14,2802.92042497,6.42558e-07,5.7830210502,6568.68,nan,12.0001224105,47.8225154896,2802.92042497,8646,0.0760428,1,,,nan,39567.6,4.47516e-08,296.666,47.8225154896
46448.1,54.2273091979,100,4.28505e+09,0.4,50000,2.88328e+14,5150.16714126,7.13714e-07,6.42343268243,26198.5,nan,21.9998755392,54.2273091979,5150.16714126,7784,0.0444929,1,,,nan,68736.9,3.10854e-08,373.762,54.2273091979
47025.0,57.1633467928,100,9.40978e+08,0.4,50000,1.4086e+13,3916.99356996,7.46514e-07,6.7186240258,12084.0,nan,29.1493515873,57.1633467928,3916.99356996,7442,0.0314997,1,,,nan,22300.3,1.57848e-08,331.893,57.1633467928
92927.4,73.0474913582,100,2.10493e+15,0.4,50000,5.39052e+25,10384.0223364,9.2285e-07,8.30564784053,20529.2,nan,10.9226929928,73.0474913582,10384.0223364,6020,0.0584649,1,,,nan,3.32256e+10,4.15858e-08,641.218,73.0474913582
132214.0,77.0388476216,100,9.5575e+18,0.4,50000,inf,12866.3150704,9.67193e-07,8.70473537604,21242.2,nan,12.000003344,77.0388476216,12866.3150704,5744,0.083212,1,,,nan,1.11089e+14,8.03641e-08,895.562,77.0388476216
269950.0,89.2898963985,100,1.46569e+17,0.4,50000,2.37384e+29,38534.2676786,1.10361e-06,9.93245927692,70090.9,nan,9.98810501516,89.2898963985,38534.2676786,5034,0.0934189,1,,,nan,1.7315e+12,9.64348e-08,2039.93,89.2898963985
nan,179.429586339,100,8.95398e+17,0.4,50000,2.04495e+31,193568.6475,2.10438e-06,18.9393939394,nan,nan,11.8801660747,179.429586339,193568.6475,2640,0.0724383,1,,,nan,2.60119e+13,1.3384e-07,nan,179.429586339
276553.0,253.449195605,100,6.04409e+11,0.4,50000,1.28329e+19,174402.450681,2.92706e-06,26.3435194942,16200.9,nan,11.9982505857,253.449195605,174402.450681,1898,0.0817589,1,,,nan,2.16385e+07,2.34818e-07,1616.44,253.449195605
373799.0,344.61195711,100,1.26082e+19,0.4,50000,inf,192890.974885,3.94011e-06,35.4609929078,22005.0,nan,9.21896664245,344.61195711,192890.974885,1410,0.0719237,1,,,nan,6.90701e+14,2.21076e-07,1764.33,344.61195711
244330.0,227.42830071,100,1.57953e+08,0.4,50000,1.06542e+12,131394.640965,2.63797e-06,23.7416904084,28353.6,nan,6.28048220088,227.42830071,131394.640965,2106,0.0320486,1,,,nan,13001.3,4.38613e-08,1589.83,227.42830071
536381.0,731.937323012,100,1.38481e+07,0.4,50000,9.19577e+10,776654.580573,8.24266e-06,74.1839762611,17252.3,nan,2.5134732624,731.937323012,776654.580573,674,0.00928812,1,,,nan,12289.4,4.1368e-08,2764.24,731.937323012
792613.0,1222.31682887,100,4.102e+06,0.4,50000,5.47586e+09,1812227.9567,1.36836e-05,123.15270936,17417.2,nan,12.1102269145,1222.31682887,1812227.9567,406,0.0272289,1,,,nan,2061.43,2.41279e-07,3742.91,1222.31682887
813337.0,1470.73906001,100,4108.01,0.4,50000,30094.5,2687770.8619,1.64366e-05,147.928994083,15275.3,nan,8.74020725523,1470.73906001,2687770.8619,338,0.00246819,1,,,nan,27.3567,1.08638e-08,3975.89,1470.73906001
749688.0,1121.71127712,100,2.51184e+09,0.4,50000,9.77613e+14,947004.511007,1.25691e-05,113.122171946,16626.2,nan,11.6784762913,1121.71127712,947004.511007,442,0.0643332,1,,,nan,490753.0,6.41285e-07,3368.16,1121.71127712
735659.0,998.674109702,100,4.28829e+09,0.4,50000,2.06788e+15,1017957.3255,1.12007e-05,100.806451613,25781.9,nan,9.97956479337,998.674109702,1017957.3255,496,0.0861693,1,,,nan,557413.0,8.34952e-07,3630.2,998.674109702
618152.0,1387.50349488,100,209598.0,0.4,50000,9.32254e+06,1913605.77062,1.55183e-05,139.664804469,32963.0,nan,9.71740147028,1387.50349488,1913605.77062,358,0.0193209,1,,,nan,168.347,7.92164e-08,3810.47,1387.50349488
822195.0,1515.64900999,100,8421.89,0.4,50000,46515.0,2291821.7503,1.69377e-05,152.43902439,14955.2,nan,5.01814406101,1515.64900999,2291821.7503,328,0.00425628,1,,,nan,33.5145,1.18805e-08,4027.63,1515.64900999
736313.0,1143.3087325,100,3.36405e+06,0.4,50000,4.54734e+09,2012301.63226,1.28008e-05,115.207373272,23716.1,nan,20.5374258808,1143.3087325,2012301.63226,434,0.0174748,1,,,nan,2464.27,1.22703e-07,4076.01,1143.3087325
nan,1158.98790341,100,3.02454e+07,0.4,50000,1.64971e+11,1439627.65516,1.29803e-05,116.822429907,nan,nan,10.36771339,1158.98790341,1439627.65516,428,0.0405228,1,,,nan,9688.2,2.96134e-07,nan,1158.98790341
826125.0,1945.33302554,100,816.29,0.4,50000,3834.34,2609077.77162,2.17014e-05,195.3125,14204.1,nan,2.51309051531,1945.33302554,2609077.77162,256,0.00108569,1,,,nan,16.3164,6.78291e-09,4092.65,1945.33302554
824167.0,2147.17072346,100,5449.29,0.4,50000,11949.7,2597345.50273,2.39464e-05,215.517241379,13427.5,nan,10.3702701063,2147.17072346,2597345.50273,232,0.00949712,1,,,nan,13.74,3.62961e-08,3940.61,2147.17072346
720427.0,1259.85327585,100,1.24415e+07,0.4,50000,4.10491e+10,1620876.82322,1.41004e-05,126.903553299,22871.6,nan,7.91366057653,1259.85327585,1620876.82322,394,0.0343097,1,,,nan,5113.15,3.12169e-07,3693.84,1259.85327585
778021.0,1553.56701729,100,2886.53,0.4,50000,19952.6,2579831.96417,1.73611e-05,156.25,15784.9,nan,3.43197764746,1553.56701729,2579831.96417,320,0.00213264,1,,,nan,23.4983,1.08913e-08,3844.72,1553.56701729
820042.0,2245.37747667,100,394.28,0.4,50000,663.524,3399609.68915,2.5025e-05,225.225225225,14191.5,nan,2.83181763704,2245.37747667,3399609.68915,222,0.00116977,1,,,nan,8.43488,5.84047e-09,4178.88,2245.37747667
830529.0,1977.22613808,100,247.412,0.4,50000,547.977,4015597.87276,2.20459e-05,198.412698413,14091.3,nan,9.68187003239,1977.22613808,4015597.87276,252,0.000728638,1,,,nan,7.48576,4.75275e-09,4241.89,1977.22613808
820994.0,2092.67693101,100,3961.11,0.4,50000,12885.1,2018931.51925,2.33427e-05,210.084033613,14423.3,nan,5.14919112253,2092.67693101,2018931.51925,238,0.00536252,1,,,nan,17.2424,2.36153e-08,3982.6,2092.67693101
764226.0,1829.88108851,100,4680.47,0.4,50000,9090.69,3023914.52571,2.04248e-05,183.823529412,17191.1,nan,8.69079315446,1829.88108851,3023914.52571,272,0.00757893,1,,,nan,12.6136,2.38361e-08,3996.96,1829.88108851
835985.0,3080.11551188,100,53.7796,0.4,50000,69.95,3414883.74548,3.42936e-05,308.641975309,11045.8,nan,4.49816210292,3080.11551188,3414883.74548,162,0.000455572,1,,,nan,4.0483,5.01957e-09,4190.8,3080.11551188
812082.0,2076.59899523,100,6800.31,0.4,50000,22287.0,4316015.82195,2.31482e-05,208.333333333,15631.7,nan,11.8149194976,2076.59899523,4316015.82195,240,0.0159403,1,,,nan,9.87525,1.22458e-07,4274.64,2076.59899523
